line,reactance,limit
line_4003_4040,0.07809,1920.8605455243946
line_4003_4017,0.571924367977993,262.2724409003881
line_4003_4071,0.4682301832437,320.3552555302258
line_1001_5262,0.534651445951416,280.55661522260345
line_2001_5465,0.573860513508103,261.3875610346938
line_2001_5323,0.517607855435484,289.79467452981186
line_2001_5385,0.288414971025517,520.0839591185056
line_2001_5084,0.507166825855544,295.7606695725095
line_2001_5103,0.338754836886099,442.7981054937237
line_3002_6199,0.189390879578996,792.0127956184613
line_3002_6002,0.450134906405401,333.23343261210414
line_3002_6147,0.741792719888198,202.2128230411965
line_3006_5008,0.476297535401633,314.92919625022637
line_4017_6199,0.73288572806371,204.67037937319532
line_4017_4071,0.184168340120413,814.4722372038916
line_4017_4040,0.0962564769110242,1558.3366939416892
line_4040_6199,0.44999875044801,333.33425892997013
line_4040_4071,0.0789351368388688,1900.2944190265573
line_4040_6147,0.744430682452154,201.4962622253829
line_5003_5465,0.200021864560116,749.9180168621913
line_5003_5449,0.221844783422695,676.1484209173195
line_5003_5323,0.0891742475660652,1682.0999794685313
line_5003_5385,0.0211272878410239,7099.822803982324
line_5003_5084,0.159079635516763,942.9239607743115
line_5003_5262,0.547068924770162,274.1884855971648
line_5003_5103,0.0320090138595111,4686.179982249884
line_5003_5007,0.402730952403559,372.4570935131194
line_5004_5323,0.67862416182186,221.03545443667133
line_5004_8060,0.511517426281136,293.2451414031753
line_5004_5385,0.240965305324088,622.496254380922
line_5004_5011,0.30456541042117,492.50504117513424
line_5005_5008,0.455514111318335,329.29825064227884
line_5005_5262,0.465928271411472,321.9379659997742
line_5007_5465,0.0615068346389904,2438.7533658724824
line_5007_5449,0.163106331717765,919.6454755634877
line_5007_5323,0.0791194465181927,1895.8676608728433
line_5007_5030,0.383534175376834,391.0994368431977
line_5007_5385,0.0762441741799677,1967.3634295774275
line_5007_5084,0.161169075964125,930.6996339259824
line_5007_5262,0.180266878128096,832.0996156232948
line_5007_5103,0.0728606360127084,2058.724823289175
line_5008_5323,0.748269594344837,200.4625086113991
line_5008_5385,0.643820485470905,232.98419883344746
line_5008_5262,0.400593697241383,374.44423372845915
line_5011_5385,0.760383418117121,197.2688993816218
line_5011_8001,0.36258194193688,413.6995880123361
line_5030_5465,0.493898793641027,303.7059452893141
line_5030_5449,0.349764389813671,428.8601251828669
line_5030_5323,0.212311685615709,706.5084503709552
line_5030_5385,0.245318743625357,611.4494057130638
line_5030_5262,0.239466549251079,626.3922893160583
line_5030_5103,0.4017385520649,373.37716091476284
line_5084_5465,0.0847393528158348,1770.1338872152712
line_5084_5449,0.149928206965486,1000.4788494171116
line_5084_5323,0.0772408228057443,1941.9782771765695
line_5084_8060,0.589267064549773,254.55351066431462
line_5084_5385,0.0474885713269113,3158.654720677952
line_5084_5262,0.240911606290259,622.6350083742939
line_5084_5103,0.0161067086346746,9312.889641343563
line_5103_5465,0.0276220801322763,5430.43823208396
line_5103_5449,0.0727291924976718,2062.4455579484365
line_5103_5323,0.0295385907928494,5078.102779239945
line_5103_8060,0.278916071676987,537.7961875704142
line_5103_5385,0.0171156135567079,8763.927714482223
line_5103_5262,0.12265604072211,1222.9320228902593
line_5262_5465,0.182362443854678,822.5377815156546
line_5262_5449,0.117331362286968,1278.4305668686548
line_5262_5323,0.074632043868792,2009.8605401147765
line_5262_8060,0.268491510199885,558.6768828866465
line_5262_5385,0.0591925009445897,2534.1047870306325
line_5262_6018,0.403780670392974,371.48880815422535
line_5323_5465,0.0525198734818409,2856.061716368443
line_5323_5449,0.0131512505403565,11405.759440115862
line_5323_8060,0.243028005639248,617.2128171214175
line_5323_5385,0.0145823563425853,10286.403409437366
line_5323_6018,0.738257396451551,203.18116787041757
line_5385_5465,0.0447923428365895,3348.786656398548
line_5385_5449,0.0301970475523234,4967.373043344392
line_5385_8002,0.518422502148604,289.3392925236163
line_5385_8060,0.0863111766562922,1737.8977533504033
line_5385_6018,0.369718179612427,405.7144286419563
line_5449_5465,0.124913622497969,1200.8297974261286
line_5449_8060,0.404695981143215,370.648602875346
line_5465_8060,0.537791328440504,278.9185917797753
line_6001_6199,0.0522372377499648,2871.514774919374
line_6001_6002,0.197271468121777,760.373516901106
line_6001_6018,0.305348782586648,491.2415197117575
line_6001_6147,0.171708857543842,873.571708213718
line_6002_6199,0.0303038892206167,4949.859699788971
line_6002_6018,0.318590765969504,470.82343878842437
line_6002_6147,0.211183057295196,710.2842525398567
line_6005_6199,0.346601678704785,432.773437683668
line_6005_7127,0.684820926497141,219.03536267101242
line_6005_6018,0.13737941545897,1091.8666344507724
line_6005_6147,0.73902719065545,202.9695279100132
line_6014_6199,0.569914673200604,263.19729435567905
line_6014_6018,0.312187787901206,480.48003737887575
line_6018_6199,0.106148361276469,1413.1164927672987
line_6018_8060,0.556557785149624,269.5137935401879
line_6018_6147,0.245544185110084,610.8880156650869
line_6147_6199,0.0569181042148903,2635.3653564019905
line_6199_7001,0.471901481520056,317.8629563035711
line_6199_7127,0.679530509941003,220.74064049460128
line_6199_7098,0.466852605796668,321.30055211757923
line_7001_7098,0.575712882734639,260.5465406427927
line_7004_7170,0.115454972371597,1299.2077943357717
line_7004_7074,0.164134643948655,913.883847988383
line_7004_7039,0.141088347977813,1063.1636286760436
line_7004_7127,0.0336731747209418,4454.584435328368
line_7004_7248,0.0692703481772863,2165.4286999698506
line_7004_7098,0.676855593153831,221.61300211921133
line_7004_7049,0.161368637914935,929.5486529363411
line_7004_7229,0.0744931434851211,2013.6081387136023
line_7004_7353,0.125597661495493,1194.2897520061124
line_7004_7201,0.12076202702701,1242.1123070950982
line_7004_7208,0.0538718055066911,2784.3878368132546
line_7010_7127,0.415405917432672,361.092593304985
line_7010_7049,0.200726548242861,747.2853058705196
line_7010_7201,0.430256474502746,348.6292685620996
line_7012_7069,0.586500055033029,255.75445170512842
line_7012_7039,0.533075428695895,281.3860701982776
line_7012_7127,0.246021313811314,609.7032719492039
line_7012_7248,0.767613099252998,195.41094354170394
line_7012_7049,0.234186914950099,640.5140100673955
line_7012_7229,0.486588884432982,308.2684475515583
line_7039_7170,0.307054799280194,488.5121494652875
line_7039_7069,0.379887363627669,394.8538813389338
line_7039_7127,0.0316572662188193,4738.248683988685
line_7039_7248,0.0656797187351185,2283.810023683856
line_7039_7049,0.198645328455564,755.1146617251272
line_7039_7229,0.0948490083371662,1581.4609201477874
line_7039_7353,0.228604044801193,656.1563691073292
line_7039_7201,0.263451390534916,569.3649963108471
line_7039_7208,0.28381221431839,528.5184795877918
line_7049_7170,0.223955932658464,669.7746213705004
line_7049_7127,0.0801540445783274,1871.396518904525
line_7049_7248,0.176090913804996,851.8327082231557
line_7049_7229,0.0451380986367396,3323.1351016170042
line_7049_7353,0.375742730604031,399.20932005488214
line_7049_7201,0.191664074843552,782.6192786647118
line_7049_7208,0.283557435058399,528.9933588555255
line_7069_7127,0.281409335602203,533.0313568986861
line_7074_7170,0.716855181479262,209.24728435451698
