line,reactance,limit
line_1001_1064,0.0358,4888.26815642458
line_1001_3048,0.12462931078127,1404.164067850241
line_1001_1081,0.141302895007733,1238.4742718146213
line_4003_4040,0.07809,2241.0039697784605
line_4007_4122,0.02091,8369.201339072213
line_4019_4067,0.06276,2788.4002549394518
line_4033_4101,0.016,10937.5
line_4033_4147,0.06854,2553.253574555004
line_4033_4190,0.01648,10618.93203883495
line_4079_4040,0.03186,5492.780916509731
line_4088_4042,0.02015,8684.8635235732
line_4103_4003,0.05414,3232.360546730698
line_4128_4003,0.09028,1938.413823659725
line_4193_4126,0.0364,4807.692307692308
line_4194_4067,0.03294,5312.689738919248
line_5003_5181,0.01026,17056.53021442495
line_5022_5441,0.02594,6746.337702390131
line_5161_5181,0.02401,7288.629737609329
line_5168_5203,0.02787,6279.153211338357
line_5168_5245,0.03616,4839.6017699115055
line_5250_5385,0.0113,15486.725663716814
line_5287_5266,0.01287,13597.513597513598
line_5307_5224,0.01303,13430.544896392941
line_5480_5048,0.02037,8591.06529209622
line_6061_6035,0.03049,5739.586749754018
line_6120_6023,0.03392,5159.198113207548
line_6205_6223,0.01501,11658.894070619586
line_6230_6278,0.05404,3238.3419689119173
line_7013_7201,0.0302,5794.701986754966
line_7017_7229,0.04129,4238.314361830951
line_7017_7385,0.01922,9105.098855359
line_7039_7101,0.01988,8802.81690140845
line_7051_7181,0.03605,4854.368932038835
line_7075_7004,0.01386,12626.262626262625
line_7075_7387,0.07976,2194.082246740221
line_7091_7259,0.04091,4277.682718161818
line_7145_7404,0.06841,2558.1055401257127
line_7174_7257,0.05031,3478.4337109918506
line_7178_7404,0.01898,9220.23182297155
line_7246_7410,0.06404,2732.6670830730795
line_7257_7317,0.03088,5667.098445595855
line_7343_7012,0.04198,4168.651738923297
line_7385_7181,0.02553,6854.680767724246
line_7385_7404,0.03846,4550.182007280291
line_8095_8140,0.02604,6720.430107526881
line_1004_3048,0.160241300569734,1092.102968322098
line_1004_2019,0.301819148877105,579.8174193091263
line_1048_1081,0.214898278736258,814.3387700874763
line_1081_3048,0.205700761460395,850.7503752420187
line_1081_3060,0.736649958995964,237.56194901377683
line_1081_3051,0.251589014893239,695.5788593323946
line_1081_3055,0.648429250740347,269.88295145568
line_2001_8129,0.215987754839399,810.231117639627
line_2001_2115,0.474942975966448,368.4652871092523
line_2001_2103,0.666178976992933,262.69216838683946
line_2001_2004,0.461030193975392,379.5846829271681
line_2004_8129,0.196021511463338,892.7591604288306
line_2004_5465,0.585369352245858,298.95654654379507
line_2004_5444,0.523480266568605,334.30104471199826
line_2004_5385,0.573897323685111,304.9325946953185
line_2004_5351,0.517459401200759,338.1907828786459
line_2004_5305,0.628439306469531,278.4676232031401
line_2004_5103,0.516645673955089,338.72344010996676
line_2004_5234,0.760733016257578,230.04128420889572
line_2004_2115,0.449063728508047,389.6996993754397
line_2004_2103,0.0805717893521254,2171.9760899834564
line_2004_5084,0.389449271335978,449.3524905045398
line_2008_2019,0.295021291433594,593.1775267799292
line_2019_3048,0.454037285837581,385.43090063004496
line_2019_2057,0.183385247819125,954.2752325018232
line_2057_5022,0.566388792265855,308.9750404486419
line_2057_5415,0.781686697412426,223.87486006771354
line_2057_3048,0.131182798359129,1334.0163663906303
line_2057_5364,0.557191373599874,314.075214175282
line_2057_5057,0.187478708811998,933.4393281718644
line_2103_8129,0.264709274861553,661.1026383247345
line_2103_5465,0.370144886301546,472.78783653769756
line_2103_5444,0.348510940886007,502.1363161658676
line_2103_5323,0.614022918590521,285.0056483261398
line_2103_5385,0.403877343203293,433.299869242512
line_2103_5351,0.428642411240043,408.26571382363437
line_2103_5305,0.442893962721604,395.12843870035357
line_2103_5103,0.349169635973771,501.189055319649
line_2103_5234,0.573258165296161,305.2725815245739
line_2103_5302,0.544690415675485,321.28342075374667
line_2103_5007,0.598936628011584,292.1845013569872
line_2103_2115,0.650279368691251,269.11510410087914
line_2103_5084,0.238256549654341,734.5023683667348
line_2115_8129,0.156755255272425,1116.3900036133873
line_2115_5351,0.743308372124262,235.43391486345928
line_3002_6199,0.473973601661832,369.2188750310571
line_3002_6047,0.698455978340231,250.55265532390393
line_3002_6178,0.573008184437593,305.40575990509166
line_3006_3127,0.285972887475776,611.9461237905771
line_3006_5008,0.675390113284447,259.1095080574523
line_3006_3048,0.490109895834556,357.06277609843215
line_3028_5008,0.449158659413226,389.617335283299
line_3028_3048,0.130290432189756,1343.153116148457
line_3028_3055,0.686270540468061,255.00147490032683
line_3045_3048,0.145899614226539,1199.4548507049285
line_3048_5016,0.286006636699404,611.8739132054717
line_3048_5480,0.510718946947115,342.6542152901982
line_3048_5098,0.636620082634203,274.88922321753654
line_3048_5005,0.520346426903826,336.3144070024424
line_3048_8070,0.49241077340431,355.39433629798043
line_3048_3127,0.190384436078186,919.1927848982991
line_3048_5449,0.632345499056206,276.7474430690067
line_3048_5444,0.121801557623699,1436.763235332798
line_3048_5022,0.0875450355372658,1998.9711458339264
line_3048_5323,0.540623290457407,323.7004455578249
line_3048_5415,0.170204674587335,1028.1738760953033
line_3048_5008,0.141704727177454,1234.9623296677394
line_3048_5385,0.427927505699651,408.94777192197375
line_3048_5364,0.212218246800221,824.6227769695143
line_3048_5360,0.649444444602316,269.4610777788089
line_3048_5351,0.781370111910331,223.96556680694073
line_3048_5007,0.629917526753296,277.8141464041814
line_3048_5206,0.303453306114529,576.6949856000307
line_3048_5067,0.547505725767446,319.63136048431306
line_3048_5057,0.124966930703369,1400.370474132819
line_3048_5319,0.19026603595905,919.7647868044318
line_3048_6349,0.166907258146398,1048.486458548757
line_3048_5193,0.427750422250175,409.1170713039042
line_3048_5281,0.565730640487405,309.33449149798366
line_3048_5262,0.0530519500621749,3298.653485779628
line_3048_5048,0.712336190266067,245.6705168027967
line_3048_6111,0.727142512171967,240.66809060204287
line_3048_6214,0.582975815137656,300.1839792593761
line_3048_3060,0.459730671620554,380.6576563254388
line_3048_3055,0.108241736958244,1616.7515869364613
line_3051_4015,0.424811634980548,411.94728578470597
line_3055_3127,0.669552675867001,261.3685320178778
line_3055_5008,0.773222818400449,226.32544699342824
line_4002_4015,0.467405207230458,374.4074676380634
line_4005_4015,0.255832775929568,684.0405783197159
line_4005_4147,0.386521979074564,452.7556244511537
line_4005_4190,0.096200996763079,1819.1079706895853
line_4007_4088,0.030305908658597,5774.451509486651
line_4007_4040,0.380185328798373,460.30182320057185
line_4007_4103,0.71265718362038,245.5598624726969
line_4007_4171,0.560002319034279,312.4987059014087
line_4007_4019,0.649232122646756,269.5492011186523
line_4010_4017,0.694856573741036,251.85053522314405
line_4010_4085,0.760825495738404,230.01332234556264
line_4010_4181,0.569069994182557,307.51928899603905
line_4010_4040,0.428025095977257,408.85453129902123
line_4010_4194,0.513982707877175,340.4783805330261
line_4015_4147,0.732006041540318,239.06906510191857
line_4015_4190,0.421620142923131,415.0655582693678
line_4017_4085,0.116347893630303,1504.109739674917
line_4017_4181,0.0649410197040826,2694.752881883042
line_4017_4040,0.362961110928682,482.14531731027694
line_4017_4193,0.554625921066964,315.52798625665207
line_4017_4061,0.492700789762627,355.1851420500287
line_4019_4103,0.590199959369898,296.5096781552329
line_4019_4171,0.463776067283899,377.33728052179623
line_4026_6236,0.636216269635575,275.0636982299118
line_4026_4030,0.579922843082212,301.7642813825
line_4030_4181,0.160811668779336,1088.2294881233593
line_4030_7406,0.0600664809741093,2913.4385294758813
line_4030_7001,0.443403767693535,394.6741384501581
line_4030_7045,0.345758752435029,506.1332468594095
line_4040_4085,0.311660585593098,561.5082820529602
line_4040_4181,0.276843318342415,632.1265076860204
