ODESSA,WICHITAFALLS,SILVER,GRAHAM,GRANBURY,PALOPINTO,ODESSA_2,MONAHANS,ODESSA_3,MONAHANS_4,SAVOY,SHERMAN,PARIS,GREENVILLE,MTENTERPRISE,MOUNTPLEASANT,DENTON,PARIS_5,BASTROP,CEDARCREEK,MISSION,CHRISTINE,FANNIN,NURSERY,VICTORIA,POINTCOMFORT,WHARTON,LAREDO,SANTAROSA,BROWNSVILLE,BISHOP,GREGORY,CORPUSCHRISTI,CORPUSCHRISTI_6,PEARSALL,ALEDO,DALLAS,ENNIS,DALLAS_7,GRAHAM_8,POOLVILLE,BRIDGEPORT,ARLINGTON,MCKINNEY,MIDLOTHIAN,IRVING,LEWSIVILLE,TEMPLE,RIESEL,FRANKLIN,BREMOND,MCKINNEY_9,GRANBURY_10,DALLAS_11,SANANTONIO,MARION,LAGRANGE,WINCHESTER,ROCKDALE,SANANTONIO_12,SEGUIN,ELMENDORF,NEWBRAUNFELS,PASADENA,DEERPARK,HOUSTON,MONTBELVIEU,CHANNELVIEW,HOUSTON_13,BAYTOWN,FREEPORT,ALVIN,HOUSTON_14,LAPORTE,PASADENA_15,HOUSTON_16,HOUSTON_17,HOUSTON_18,WILLIS,SHIRO,BAYTOWN_19,NEWGULF,THOMPSONS,CHANNELVIEW_20,LAPORTE_21,FREEPORT_22,FAIRFIELD,JEWETT,FAIRFIELD_23,JACKSONVILLE,TRINIDAD,BRYAN
2.9,1.917277778,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,1.917277778,2.9,2.9,2.9,2.9,2.9,1.917277778,1.917277778,2.9,2.9,2.9,2.9,2.9,1.917277778,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,1.917277778,2.9,2.9,1.917277778,1.917277778,1.917277778,2.9,2.9,2.9,2.9,2.9,1.917277778,2.9,1.917277778,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,1.917277778,1.917277778,1.917277778,1.917277778,2.9
2.92,1.917277778,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,1.917277778,2.92,2.92,2.92,2.92,2.92,1.917277778,1.917277778,2.92,2.92,2.92,2.92,2.92,1.917277778,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,1.917277778,2.92,2.92,1.917277778,1.917277778,1.917277778,2.92,2.92,2.92,2.92,2.92,1.917277778,2.92,1.917277778,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,1.917277778,1.917277778,1.917277778,1.917277778,2.92
2.86,1.917277778,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,1.917277778,2.86,2.86,2.86,2.86,2.86,1.917277778,1.917277778,2.86,2.86,2.86,2.86,2.86,1.917277778,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,1.917277778,2.86,2.86,1.917277778,1.917277778,1.917277778,2.86,2.86,2.86,2.86,2.86,1.917277778,2.86,1.917277778,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,1.917277778,1.917277778,1.917277778,1.917277778,2.86
2.86,1.917277778,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,1.917277778,2.86,2.86,2.86,2.86,2.86,1.917277778,1.917277778,2.86,2.86,2.86,2.86,2.86,1.917277778,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,1.917277778,2.86,2.86,1.917277778,1.917277778,1.917277778,2.86,2.86,2.86,2.86,2.86,1.917277778,2.86,1.917277778,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,1.917277778,1.917277778,1.917277778,1.917277778,2.86
2.75,1.917277778,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.917277778,2.75,2.75,2.75,2.75,2.75,1.917277778,1.917277778,2.75,2.75,2.75,2.75,2.75,1.917277778,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.917277778,2.75,2.75,1.917277778,1.917277778,1.917277778,2.75,2.75,2.75,2.75,2.75,1.917277778,2.75,1.917277778,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.917277778,1.917277778,1.917277778,1.917277778,2.75
2.74,1.917277778,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,1.917277778,2.74,2.74,2.74,2.74,2.74,1.917277778,1.917277778,2.74,2.74,2.74,2.74,2.74,1.917277778,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,1.917277778,2.74,2.74,1.917277778,1.917277778,1.917277778,2.74,2.74,2.74,2.74,2.74,1.917277778,2.74,1.917277778,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,1.917277778,1.917277778,1.917277778,1.917277778,2.74
2.73,1.917277778,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,1.917277778,2.73,2.73,2.73,2.73,2.73,1.917277778,1.917277778,2.73,2.73,2.73,2.73,2.73,1.917277778,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,1.917277778,2.73,2.73,1.917277778,1.917277778,1.917277778,2.73,2.73,2.73,2.73,2.73,1.917277778,2.73,1.917277778,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,1.917277778,1.917277778,1.917277778,1.917277778,2.73
2.72,1.917277778,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,1.917277778,2.72,2.72,2.72,2.72,2.72,1.917277778,1.917277778,2.72,2.72,2.72,2.72,2.72,1.917277778,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,1.917277778,2.72,2.72,1.917277778,1.917277778,1.917277778,2.72,2.72,2.72,2.72,2.72,1.917277778,2.72,1.917277778,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,1.917277778,1.917277778,1.917277778,1.917277778,2.72
2.74,1.917277778,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,1.917277778,2.74,2.74,2.74,2.74,2.74,1.917277778,1.917277778,2.74,2.74,2.74,2.74,2.74,1.917277778,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,1.917277778,2.74,2.74,1.917277778,1.917277778,1.917277778,2.74,2.74,2.74,2.74,2.74,1.917277778,2.74,1.917277778,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,1.917277778,1.917277778,1.917277778,1.917277778,2.74
2.69,1.917277778,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,1.917277778,2.69,2.69,2.69,2.69,2.69,1.917277778,1.917277778,2.69,2.69,2.69,2.69,2.69,1.917277778,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,1.917277778,2.69,2.69,1.917277778,1.917277778,1.917277778,2.69,2.69,2.69,2.69,2.69,1.917277778,2.69,1.917277778,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,1.917277778,1.917277778,1.917277778,1.917277778,2.69
2.69,1.917277778,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,1.917277778,2.69,2.69,2.69,2.69,2.69,1.917277778,1.917277778,2.69,2.69,2.69,2.69,2.69,1.917277778,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,1.917277778,2.69,2.69,1.917277778,1.917277778,1.917277778,2.69,2.69,2.69,2.69,2.69,1.917277778,2.69,1.917277778,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,1.917277778,1.917277778,1.917277778,1.917277778,2.69
2.73,1.917277778,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,1.917277778,2.73,2.73,2.73,2.73,2.73,1.917277778,1.917277778,2.73,2.73,2.73,2.73,2.73,1.917277778,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,1.917277778,2.73,2.73,1.917277778,1.917277778,1.917277778,2.73,2.73,2.73,2.73,2.73,1.917277778,2.73,1.917277778,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,1.917277778,1.917277778,1.917277778,1.917277778,2.73
2.73,1.917277778,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,1.917277778,2.73,2.73,2.73,2.73,2.73,1.917277778,1.917277778,2.73,2.73,2.73,2.73,2.73,1.917277778,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,1.917277778,2.73,2.73,1.917277778,1.917277778,1.917277778,2.73,2.73,2.73,2.73,2.73,1.917277778,2.73,1.917277778,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,1.917277778,1.917277778,1.917277778,1.917277778,2.73
2.73,1.917277778,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,1.917277778,2.73,2.73,2.73,2.73,2.73,1.917277778,1.917277778,2.73,2.73,2.73,2.73,2.73,1.917277778,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,1.917277778,2.73,2.73,1.917277778,1.917277778,1.917277778,2.73,2.73,2.73,2.73,2.73,1.917277778,2.73,1.917277778,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,1.917277778,1.917277778,1.917277778,1.917277778,2.73
2.73,1.893190476,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,1.893190476,2.73,2.73,2.73,2.73,2.73,1.893190476,1.893190476,2.73,2.73,2.73,2.73,2.73,1.893190476,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,1.893190476,2.73,2.73,1.893190476,1.893190476,1.893190476,2.73,2.73,2.73,2.73,2.73,1.893190476,2.73,1.893190476,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,1.893190476,1.893190476,1.893190476,1.893190476,2.73
2.76,1.893190476,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,1.893190476,2.76,2.76,2.76,2.76,2.76,1.893190476,1.893190476,2.76,2.76,2.76,2.76,2.76,1.893190476,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,1.893190476,2.76,2.76,1.893190476,1.893190476,1.893190476,2.76,2.76,2.76,2.76,2.76,1.893190476,2.76,1.893190476,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,1.893190476,1.893190476,1.893190476,1.893190476,2.76
2.74,1.893190476,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,1.893190476,2.74,2.74,2.74,2.74,2.74,1.893190476,1.893190476,2.74,2.74,2.74,2.74,2.74,1.893190476,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,1.893190476,2.74,2.74,1.893190476,1.893190476,1.893190476,2.74,2.74,2.74,2.74,2.74,1.893190476,2.74,1.893190476,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,1.893190476,1.893190476,1.893190476,1.893190476,2.74
2.66,1.893190476,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,1.893190476,2.66,2.66,2.66,2.66,2.66,1.893190476,1.893190476,2.66,2.66,2.66,2.66,2.66,1.893190476,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,1.893190476,2.66,2.66,1.893190476,1.893190476,1.893190476,2.66,2.66,2.66,2.66,2.66,1.893190476,2.66,1.893190476,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,1.893190476,1.893190476,1.893190476,1.893190476,2.66
2.62,1.893190476,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,1.893190476,2.62,2.62,2.62,2.62,2.62,1.893190476,1.893190476,2.62,2.62,2.62,2.62,2.62,1.893190476,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,1.893190476,2.62,2.62,1.893190476,1.893190476,1.893190476,2.62,2.62,2.62,2.62,2.62,1.893190476,2.62,1.893190476,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,1.893190476,1.893190476,1.893190476,1.893190476,2.62
2.653333333,1.893190476,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,1.893190476,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,1.893190476,1.893190476,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,1.893190476,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,1.893190476,2.653333333,2.653333333,1.893190476,1.893190476,1.893190476,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,1.893190476,2.653333333,1.893190476,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,2.653333333,1.893190476,1.893190476,1.893190476,1.893190476,2.653333333
2.686666667,1.893190476,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,1.893190476,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,1.893190476,1.893190476,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,1.893190476,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,1.893190476,2.686666667,2.686666667,1.893190476,1.893190476,1.893190476,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,1.893190476,2.686666667,1.893190476,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,2.686666667,1.893190476,1.893190476,1.893190476,1.893190476,2.686666667
2.72,1.893190476,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,1.893190476,2.72,2.72,2.72,2.72,2.72,1.893190476,1.893190476,2.72,2.72,2.72,2.72,2.72,1.893190476,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,1.893190476,2.72,2.72,1.893190476,1.893190476,1.893190476,2.72,2.72,2.72,2.72,2.72,1.893190476,2.72,1.893190476,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,1.893190476,1.893190476,1.893190476,1.893190476,2.72
2.71,1.893190476,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,1.893190476,2.71,2.71,2.71,2.71,2.71,1.893190476,1.893190476,2.71,2.71,2.71,2.71,2.71,1.893190476,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,1.893190476,2.71,2.71,1.893190476,1.893190476,1.893190476,2.71,2.71,2.71,2.71,2.71,1.893190476,2.71,1.893190476,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,1.893190476,1.893190476,1.893190476,1.893190476,2.71
2.72,1.893190476,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,1.893190476,2.72,2.72,2.72,2.72,2.72,1.893190476,1.893190476,2.72,2.72,2.72,2.72,2.72,1.893190476,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,1.893190476,2.72,2.72,1.893190476,1.893190476,1.893190476,2.72,2.72,2.72,2.72,2.72,1.893190476,2.72,1.893190476,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,1.893190476,1.893190476,1.893190476,1.893190476,2.72
2.72,1.893190476,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,1.893190476,2.72,2.72,2.72,2.72,2.72,1.893190476,1.893190476,2.72,2.72,2.72,2.72,2.72,1.893190476,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,1.893190476,2.72,2.72,1.893190476,1.893190476,1.893190476,2.72,2.72,2.72,2.72,2.72,1.893190476,2.72,1.893190476,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,1.893190476,1.893190476,1.893190476,1.893190476,2.72
2.75,1.893190476,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.893190476,2.75,2.75,2.75,2.75,2.75,1.893190476,1.893190476,2.75,2.75,2.75,2.75,2.75,1.893190476,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.893190476,2.75,2.75,1.893190476,1.893190476,1.893190476,2.75,2.75,2.75,2.75,2.75,1.893190476,2.75,1.893190476,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.893190476,1.893190476,1.893190476,1.893190476,2.75
2.75,1.893190476,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.893190476,2.75,2.75,2.75,2.75,2.75,1.893190476,1.893190476,2.75,2.75,2.75,2.75,2.75,1.893190476,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.893190476,2.75,2.75,1.893190476,1.893190476,1.893190476,2.75,2.75,2.75,2.75,2.75,1.893190476,2.75,1.893190476,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.893190476,1.893190476,1.893190476,1.893190476,2.75
2.75,1.893190476,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.893190476,2.75,2.75,2.75,2.75,2.75,1.893190476,1.893190476,2.75,2.75,2.75,2.75,2.75,1.893190476,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.893190476,2.75,2.75,1.893190476,1.893190476,1.893190476,2.75,2.75,2.75,2.75,2.75,1.893190476,2.75,1.893190476,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.893190476,1.893190476,1.893190476,1.893190476,2.75
2.75,1.893190476,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.893190476,2.75,2.75,2.75,2.75,2.75,1.893190476,1.893190476,2.75,2.75,2.75,2.75,2.75,1.893190476,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.893190476,2.75,2.75,1.893190476,1.893190476,1.893190476,2.75,2.75,2.75,2.75,2.75,1.893190476,2.75,1.893190476,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.893190476,1.893190476,1.893190476,1.893190476,2.75
2.66,1.893190476,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,1.893190476,2.66,2.66,2.66,2.66,2.66,1.893190476,1.893190476,2.66,2.66,2.66,2.66,2.66,1.893190476,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,1.893190476,2.66,2.66,1.893190476,1.893190476,1.893190476,2.66,2.66,2.66,2.66,2.66,1.893190476,2.66,1.893190476,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,1.893190476,1.893190476,1.893190476,1.893190476,2.66
2.55,1.893190476,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,1.893190476,2.55,2.55,2.55,2.55,2.55,1.893190476,1.893190476,2.55,2.55,2.55,2.55,2.55,1.893190476,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,1.893190476,2.55,2.55,1.893190476,1.893190476,1.893190476,2.55,2.55,2.55,2.55,2.55,1.893190476,2.55,1.893190476,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,1.893190476,1.893190476,1.893190476,1.893190476,2.55
2.54,1.893190476,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,1.893190476,2.54,2.54,2.54,2.54,2.54,1.893190476,1.893190476,2.54,2.54,2.54,2.54,2.54,1.893190476,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,1.893190476,2.54,2.54,1.893190476,1.893190476,1.893190476,2.54,2.54,2.54,2.54,2.54,1.893190476,2.54,1.893190476,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,1.893190476,1.893190476,1.893190476,1.893190476,2.54
