ODESSA,WICHITAFALLS,SILVER,GRAHAM,GRANBURY,PALOPINTO,ODESSA_2,MONAHANS,ODESSA_3,MONAHANS_4,SAVOY,SHERMAN,PARIS,GREENVILLE,MTENTERPRISE,MOUNTPLEASANT,DENTON,PARIS_5,BASTROP,CEDARCREEK,MISSION,CHRISTINE,FANNIN,NURSERY,VICTORIA,POINTCOMFORT,WHARTON,LAREDO,SANTAROSA,BROWNSVILLE,BISHOP,GREGORY,CORPUSCHRISTI,CORPUSCHRISTI_6,PEARSALL,ALEDO,DALLAS,ENNIS,DALLAS_7,GRAHAM_8,POOLVILLE,BRIDGEPORT,ARLINGTON,MCKINNEY,MIDLOTHIAN,IRVING,LEWSIVILLE,TEMPLE,RIESEL,FRANKLIN,BREMOND,MCKINNEY_9,GRANBURY_10,DALLAS_11,SANANTONIO,MARION,LAGRANGE,WINCHESTER,ROCKDALE,SANANTONIO_12,SEGUIN,ELMENDORF,NEWBRAUNFELS,PASADENA,DEERPARK,HOUSTON,MONTBELVIEU,CHANNELVIEW,HOUSTON_13,BAYTOWN,FREEPORT,ALVIN,HOUSTON_14,LAPORTE,PASADENA_15,HOUSTON_16,HOUSTON_17,HOUSTON_18,WILLIS,SHIRO,BAYTOWN_19,NEWGULF,THOMPSONS,CHANNELVIEW_20,LAPORTE_21,FREEPORT_22,FAIRFIELD,JEWETT,FAIRFIELD_23,JACKSONVILLE,TRINIDAD,BRYAN
2.95,1.9624,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,1.9624,2.95,2.95,2.95,2.95,2.95,1.9624,1.9624,2.95,2.95,2.95,2.95,2.95,1.9624,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,1.9624,2.95,2.95,1.9624,1.9624,1.9624,2.95,2.95,2.95,2.95,2.95,1.9624,2.95,1.9624,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,1.9624,1.9624,1.9624,1.9624,2.95
3.086666667,1.9624,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,1.9624,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,1.9624,1.9624,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,1.9624,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,1.9624,3.086666667,3.086666667,1.9624,1.9624,1.9624,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,1.9624,3.086666667,1.9624,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,3.086666667,1.9624,1.9624,1.9624,1.9624,3.086666667
3.2233333330000002,1.9624,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,1.9624,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,1.9624,1.9624,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,1.9624,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,1.9624,3.2233333330000002,3.2233333330000002,1.9624,1.9624,1.9624,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,1.9624,3.2233333330000002,1.9624,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,3.2233333330000002,1.9624,1.9624,1.9624,1.9624,3.2233333330000002
3.36,1.9624,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,1.9624,3.36,3.36,3.36,3.36,3.36,1.9624,1.9624,3.36,3.36,3.36,3.36,3.36,1.9624,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,1.9624,3.36,3.36,1.9624,1.9624,1.9624,3.36,3.36,3.36,3.36,3.36,1.9624,3.36,1.9624,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,1.9624,1.9624,1.9624,1.9624,3.36
3.54,1.9624,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,1.9624,3.54,3.54,3.54,3.54,3.54,1.9624,1.9624,3.54,3.54,3.54,3.54,3.54,1.9624,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,1.9624,3.54,3.54,1.9624,1.9624,1.9624,3.54,3.54,3.54,3.54,3.54,1.9624,3.54,1.9624,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,1.9624,1.9624,1.9624,1.9624,3.54
3.58,1.9624,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,1.9624,3.58,3.58,3.58,3.58,3.58,1.9624,1.9624,3.58,3.58,3.58,3.58,3.58,1.9624,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,1.9624,3.58,3.58,1.9624,1.9624,1.9624,3.58,3.58,3.58,3.58,3.58,1.9624,3.58,1.9624,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,1.9624,1.9624,1.9624,1.9624,3.58
3.58,1.9624,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,1.9624,3.58,3.58,3.58,3.58,3.58,1.9624,1.9624,3.58,3.58,3.58,3.58,3.58,1.9624,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,1.9624,3.58,3.58,1.9624,1.9624,1.9624,3.58,3.58,3.58,3.58,3.58,1.9624,3.58,1.9624,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,1.9624,1.9624,1.9624,1.9624,3.58
3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,1.9624,1.9624,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,1.9624,1.9624,1.9624,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,1.9624,1.9624,1.9624,3.43
3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,1.9624,1.9624,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,1.9624,1.9624,1.9624,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,1.9624,1.9624,1.9624,3.43
3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,1.9624,1.9624,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,3.43,1.9624,1.9624,1.9624,3.43,3.43,3.43,3.43,3.43,1.9624,3.43,1.9624,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.9624,1.9624,1.9624,1.9624,3.43
