Time,Coal_100_200,Coal_200_300,Coal_300_400,Coal_400_600,Coal_50_100,Coal_600_800,Coal_800_1000,Coal_All_n_0_100,Coal_All_n_100_200,Coal_All_n_ovr_200,Coal_below_50,Coal_ovr_1000,Gas_100_200,Gas_200_300,Gas_300_400,Gas_400_600,Gas_50_100,Gas_600_800,Gas_800_1000,Gas_All_n_0_100,Gas_All_n_100_200,Gas_All_n_ovr_200,Gas_below_50,Gas_ovr_1000,Nuclear_100_200,Nuclear_200_300,Nuclear_300_400,Nuclear_400_600,Nuclear_50_100,Nuclear_600_800,Nuclear_800_1000,Nuclear_All_n_0_100,Nuclear_All_n_100_200,Nuclear_All_n_ovr_200,Nuclear_below_50,Nuclear_ovr_1000
1,520.161764773,0.0,952.0500000000001,944.4336489962501,225.0,1173.8674616438002,2379.4284605535,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.999999975,0.0,0.0,173.25,1519.10697773,374.2340455400699,25.72649573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
2,520.161764773,0.0,952.0500000000001,922.3503154862501,225.0,1173.8674616438002,2379.4284605535,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.999999975,0.0,0.0,173.25,1519.10697773,374.2340455400699,25.72649573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
3,520.161764773,0.0,952.0500000000001,922.3503154862501,225.0,1173.8674616438002,2379.4284605535,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.999999975,0.0,0.0,173.25,1519.10697773,374.2340455400699,25.72649573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
4,520.161764773,0.0,952.0500000000001,922.3503154862501,225.0,1173.8674616438002,2379.4284605535,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.999999975,0.0,0.0,173.25,1519.10697773,374.2340455400699,25.72649573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
5,520.161764773,0.0,952.0500000000001,922.3503154862501,225.0,1173.8674616438002,2379.4284605535,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.999999975,0.0,0.0,173.25,1519.10697773,374.2340455400699,25.72649573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
6,1040.323529546,0.0,1904.1,2775.713888745,450.0,2139.5212845710003,3975.6667454196,0.0,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.99999995,0.0,0.0,346.49999999999994,2549.21395546,464.3980910801399,51.45299146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2430.0
7,520.161764773,0.0,952.0500000000001,1853.36357325875,225.0,1324.748765252,2126.2979337996,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.999999975,0.0,0.0,207.9,1519.10697773,374.2340455400699,25.72649573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
8,520.161764773,0.0,952.0500000000001,1853.36357325875,225.0,1324.748765252,2047.3298635862998,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.999999975,0.0,0.0,207.9,1519.10697773,374.2340455400699,25.72649573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
9,520.161764773,0.0,952.0500000000001,1853.36357325875,225.0,1324.748765252,2047.3298635862998,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.999999975,0.0,0.0,207.9,1519.10697773,374.2340455400699,25.72649573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
10,520.161764773,0.0,952.0500000000001,1853.36357325875,225.0,1324.748765252,2002.9779341078997,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.999999975,0.0,0.0,207.9,1519.10697773,374.2340455400699,25.72649573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
