Generator,Type,Time,Value
IRVING,Coal,6,0.0
IRVING,Coal,7,0.0
IRVING,Coal,8,0.0
IRVING,Coal,9,0.0
IRVING,Coal,10,0.0
IRVING,Coal,11,0.0
IRVING,Coal,12,0.0
IRVING,Coal,13,0.0
IRVING,Coal,14,0.0
IRVING,Coal,15,0.0
IRVING,Coal,16,0.0
IRVING,Coal,17,0.0
IRVING,Coal,18,0.0
IRVING,Coal,19,0.0
IRVING,Coal,20,0.0
IRVING,Coal,21,0.0
IRVING,Coal,22,0.0
IRVING,Coal,23,0.0
IRVING,Coal,24,0.0
RIESEL,Coal,1,0.0
RIESEL,Coal,2,0.0
RIESEL,Coal,3,0.0
RIESEL,Coal,4,0.0
RIESEL,Coal,5,0.0
RIESEL,Coal,6,0.0
RIESEL,Coal,7,0.0
RIESEL,Coal,8,0.0
RIESEL,Coal,9,0.0
RIESEL,Coal,10,0.0
RIESEL,Coal,11,0.0
RIESEL,Coal,12,0.0
RIESEL,Coal,13,0.0
RIESEL,Coal,14,0.0
RIESEL,Coal,15,0.0
RIESEL,Coal,16,0.0
RIESEL,Coal,17,0.0
RIESEL,Coal,18,0.0
RIESEL,Coal,19,0.0
RIESEL,Coal,20,0.0
RIESEL,Coal,21,0.0
RIESEL,Coal,22,0.0
RIESEL,Coal,23,0.0
RIESEL,Coal,24,0.0
FRANKLIN,Coal,1,0.0
FRANKLIN,Coal,2,0.0
FRANKLIN,Coal,3,0.0
FRANKLIN,Coal,4,0.0
FRANKLIN,Coal,5,0.0
FRANKLIN,Coal,6,0.0
FRANKLIN,Coal,7,0.0
FRANKLIN,Coal,8,0.0
FRANKLIN,Coal,9,0.0
FRANKLIN,Coal,10,0.0
FRANKLIN,Coal,11,0.0
FRANKLIN,Coal,12,0.0
FRANKLIN,Coal,13,0.0
FRANKLIN,Coal,14,0.0
FRANKLIN,Coal,15,0.0
FRANKLIN,Coal,16,0.0
FRANKLIN,Coal,17,0.0
FRANKLIN,Coal,18,0.0
FRANKLIN,Coal,19,0.0
FRANKLIN,Coal,20,0.0
FRANKLIN,Coal,21,0.0
FRANKLIN,Coal,22,0.0
FRANKLIN,Coal,23,0.0
FRANKLIN,Coal,24,0.0
BREMOND,Coal,1,349.2
BREMOND,Coal,2,349.2
BREMOND,Coal,3,349.2
BREMOND,Coal,4,349.2
BREMOND,Coal,5,349.2
BREMOND,Coal,6,349.2
BREMOND,Coal,7,349.2
BREMOND,Coal,8,349.2
BREMOND,Coal,9,349.2
BREMOND,Coal,10,349.2
BREMOND,Coal,11,349.2
BREMOND,Coal,12,349.2
BREMOND,Coal,13,349.2
BREMOND,Coal,14,349.2
BREMOND,Coal,15,349.2
BREMOND,Coal,16,349.2
BREMOND,Coal,17,349.2
BREMOND,Coal,18,349.2
BREMOND,Coal,19,349.2
BREMOND,Coal,20,349.2
BREMOND,Coal,21,349.2
BREMOND,Coal,22,349.2
BREMOND,Coal,23,349.2
BREMOND,Coal,24,349.2
LAGRANGE,Coal,1,0.0
LAGRANGE,Coal,2,0.0
LAGRANGE,Coal,3,0.0
LAGRANGE,Coal,4,0.0
LAGRANGE,Coal,5,0.0
LAGRANGE,Coal,6,0.0
LAGRANGE,Coal,7,0.0
LAGRANGE,Coal,8,0.0
LAGRANGE,Coal,9,0.0
LAGRANGE,Coal,10,0.0
LAGRANGE,Coal,11,0.0
LAGRANGE,Coal,12,0.0
LAGRANGE,Coal,13,0.0
LAGRANGE,Coal,14,0.0
LAGRANGE,Coal,15,0.0
LAGRANGE,Coal,16,0.0
LAGRANGE,Coal,17,0.0
LAGRANGE,Coal,18,0.0
LAGRANGE,Coal,19,0.0
LAGRANGE,Coal,20,0.0
LAGRANGE,Coal,21,0.0
LAGRANGE,Coal,22,0.0
LAGRANGE,Coal,23,0.0
LAGRANGE,Coal,24,0.0
JEWETT,Coal,1,0.0
JEWETT,Coal,2,0.0
JEWETT,Coal,3,0.0
JEWETT,Coal,4,0.0
JEWETT,Coal,5,0.0
JEWETT,Coal,6,0.0
JEWETT,Coal,7,0.0
JEWETT,Coal,8,0.0
JEWETT,Coal,9,0.0
JEWETT,Coal,10,0.0
JEWETT,Coal,11,0.0
JEWETT,Coal,12,0.0
JEWETT,Coal,13,0.0
JEWETT,Coal,14,0.0
JEWETT,Coal,15,0.0
JEWETT,Coal,16,0.0
JEWETT,Coal,17,0.0
JEWETT,Coal,18,0.0
JEWETT,Coal,19,0.0
JEWETT,Coal,20,0.0
JEWETT,Coal,21,0.0
JEWETT,Coal,22,0.0
JEWETT,Coal,23,0.0
JEWETT,Coal,24,0.0
JACKSONVILLE,Coal,1,0.0
JACKSONVILLE,Coal,2,0.0
JACKSONVILLE,Coal,3,0.0
JACKSONVILLE,Coal,4,0.0
JACKSONVILLE,Coal,5,0.0
JACKSONVILLE,Coal,6,0.0
JACKSONVILLE,Coal,7,0.0
JACKSONVILLE,Coal,8,0.0
JACKSONVILLE,Coal,9,0.0
JACKSONVILLE,Coal,10,0.0
JACKSONVILLE,Coal,11,0.0
JACKSONVILLE,Coal,12,0.0
JACKSONVILLE,Coal,13,0.0
JACKSONVILLE,Coal,14,0.0
JACKSONVILLE,Coal,15,0.0
JACKSONVILLE,Coal,16,0.0
JACKSONVILLE,Coal,17,0.0
JACKSONVILLE,Coal,18,0.0
JACKSONVILLE,Coal,19,0.0
JACKSONVILLE,Coal,20,0.0
JACKSONVILLE,Coal,21,0.0
JACKSONVILLE,Coal,22,0.0
JACKSONVILLE,Coal,23,0.0
JACKSONVILLE,Coal,24,0.0
TRINIDAD,Coal,1,0.0
TRINIDAD,Coal,2,0.0
TRINIDAD,Coal,3,0.0
TRINIDAD,Coal,4,0.0
TRINIDAD,Coal,5,0.0
TRINIDAD,Coal,6,0.0
TRINIDAD,Coal,7,0.0
TRINIDAD,Coal,8,0.0
TRINIDAD,Coal,9,0.0
TRINIDAD,Coal,10,0.0
TRINIDAD,Coal,11,0.0
TRINIDAD,Coal,12,0.0
TRINIDAD,Coal,13,0.0
TRINIDAD,Coal,14,0.0
TRINIDAD,Coal,15,0.0
TRINIDAD,Coal,16,0.0
TRINIDAD,Coal,17,0.0
TRINIDAD,Coal,18,0.0
TRINIDAD,Coal,19,0.0
TRINIDAD,Coal,20,0.0
TRINIDAD,Coal,21,0.0
TRINIDAD,Coal,22,0.0
TRINIDAD,Coal,23,0.0
TRINIDAD,Coal,24,0.0
ODESSA,Gas,1,0.0
ODESSA,Gas,2,0.0
ODESSA,Gas,3,0.0
ODESSA,Gas,4,0.0
ODESSA,Gas,5,0.0
ODESSA,Gas,6,0.0
ODESSA,Gas,7,0.0
ODESSA,Gas,8,0.0
ODESSA,Gas,9,0.0
ODESSA,Gas,10,0.0
ODESSA,Gas,11,0.0
ODESSA,Gas,12,0.0
ODESSA,Gas,13,0.0
ODESSA,Gas,14,0.0
ODESSA,Gas,15,95.5
ODESSA,Gas,16,95.5
