bus_10013,bus_20013,bus_20083,bus_30023,bus_30063,bus_40023,bus_40033,bus_40173,bus_40403,bus_40713,bus_50033,bus_50043,bus_50053,bus_50073,bus_50083,bus_50113,bus_50303,bus_50843,bus_51033,bus_52623,bus_53233,bus_53853,bus_54493,bus_54653,bus_60013,bus_60023,bus_60053,bus_60143,bus_60183,bus_61473,bus_61993,bus_70013,bus_70043,bus_70103,bus_70123,bus_70393,bus_70493,bus_70693,bus_70743,bus_70983,bus_71273,bus_71703,bus_72013,bus_72083,bus_72293,bus_72483,bus_73533,bus_80013,bus_80023,bus_80603
2565.757271959439,0.0,1241.2667497724956,0.0,1639.3883347171009,108.85625802047016,0.0,414.5918203765603,1217.0522314553168,659.4638637192011,0.0,0.0,65.44464410048307,122.70870768840577,0.0,0.0,0.0,0.0,0.0,5641.470118190524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2686.2030286571553,0.0,1299.536218429555,0.0,1716.3470442000184,113.9663572928555,0.0,434.0542325352143,1274.184984642968,690.4214390707459,0.0,0.0,68.51684807185703,128.46909013473194,0.0,0.0,0.0,0.0,0.0,5906.3007569649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2650.36947798852,0.0,1282.2005976920186,0.0,1693.451228761954,112.44606296103993,0.0,428.264013341596,1257.1875456105047,681.2113193010496,0.0,0.0,67.60284346355107,126.75533149415826,0.0,0.0,0.0,0.0,0.0,5827.511579385607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2567.8209843016116,0.0,1242.2651363071182,0.0,1640.7069418889268,108.94381423853285,0.0,414.9252884976587,1218.0311415566632,659.9942894650999,0.0,0.0,65.49728310933838,122.80740583000949,0.0,0.0,0.0,0.0,0.0,5646.007714805039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2503.658291481334,0.0,1211.224391321582,0.0,1599.7102461830737,106.22161182240234,0.0,404.5574614598711,1187.5959365875406,643.5028708198845,0.0,0.0,63.86068847038217,119.7387908819666,0.0,0.0,0.0,0.0,0.0,5504.929710971962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2483.5839986983806,0.0,1201.512813212072,0.0,1586.8837946025872,105.36992861033812,0.0,401.31372610009544,1178.0738110562654,638.3432749279602,0.0,0.0,63.34865447515318,118.77872714091222,0.0,0.0,0.0,0.0,0.0,5460.791271176235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2316.6109091953167,0.0,1120.734266319887,0.0,1480.1964870639636,98.28583460344879,0.0,374.33312357485863,1098.871084674631,595.4270100325165,0.0,0.0,59.08968012231391,110.79315022933858,0.0,0.0,0.0,0.0,0.0,5093.658454183724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2132.565290316097,0.0,1031.6963399140068,0.0,1362.6007020129632,90.47741188349549,0.0,344.59383022962567,1011.570102000043,548.1226776028195,0.0,0.0,54.39523760530792,101.99107050995235,0.0,0.0,0.0,0.0,0.0,4688.987337925688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1953.3975369729221,0.0,945.0182362263253,0.0,1248.1216248226424,82.87594022441762,0.0,315.6427342615345,926.5829068377275,502.07207875433767,0.0,0.0,49.82521456377813,93.42227730708402,0.0,0.0,0.0,0.0,0.0,4295.04145002923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779.4828695916408,0.0,860.8814800813192,0.0,1136.999002251514,75.4973389385902,0.0,287.5404662380575,844.0874828424745,457.37165453177994,0.0,0.0,45.38918172660734,85.10471573738877,0.0,0.0,0.0,0.0,0.0,3912.6458080606267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
