Bus,Time,Value
bus_1001,1,0.01
bus_1001,2,0.01
bus_1001,3,0.01
bus_1001,4,0.01
bus_1001,5,0.01
bus_1001,6,0.01
bus_1001,7,0.01
bus_1001,8,0.01
bus_1001,9,10.699821962669466
bus_1001,10,14.973227669514284
bus_1001,11,18.343033397798237
bus_1001,12,20.903583233758397
bus_1001,13,21.03650144122231
bus_1001,14,20.970042337490362
bus_1001,15,21.03650144122231
bus_1001,16,21.03650144122231
bus_1001,17,21.040767006230414
bus_1001,18,21.266666666666666
bus_1001,19,21.266666666666666
bus_1001,20,21.266666666666666
bus_1001,21,21.266666666666666
bus_1001,22,21.266666666666666
bus_1001,23,21.266666666666666
bus_1001,24,21.266666666666666
bus_2001,1,20.09986103854467
bus_2001,2,20.099861038544656
bus_2001,3,20.099861038544663
bus_2001,4,20.099861038544656
bus_2001,5,20.40081477315773
bus_2001,6,20.40174704467751
bus_2001,7,20.513062729786427
bus_2001,8,20.51507952105312
bus_2001,9,20.66787759945528
bus_2001,10,20.729853251559778
bus_2001,11,20.933063802106595
bus_2001,12,20.944985024677628
bus_2001,13,21.093896802757598
bus_2001,14,21.019440913717617
bus_2001,15,21.093896802757598
bus_2001,16,21.093896802757598
bus_2001,17,21.064874914200722
bus_2001,18,21.301155301201923
bus_2001,19,21.285152337366565
bus_2001,20,21.42648231212578
bus_2001,21,21.28515233736655
bus_2001,22,21.301155301202012
bus_2001,23,21.313911014183724
bus_2001,24,21.075013324417405
bus_2008,1,0.01
bus_2008,2,0.01
bus_2008,3,0.01
bus_2008,4,0.01
bus_2008,5,0.01
bus_2008,6,0.01
bus_2008,7,0.01
bus_2008,8,0.01
bus_2008,9,0.01
bus_2008,10,0.01
bus_2008,11,0.01
bus_2008,12,0.01
bus_2008,13,0.01
bus_2008,14,0.01
bus_2008,15,0.01
bus_2008,16,0.01
bus_2008,17,21.061877216084344
bus_2008,18,21.296817346709716
bus_2008,19,21.282857500914595
bus_2008,20,21.421791972122627
bus_2008,21,21.28285750091458
bus_2008,22,21.296817346709705
bus_2008,23,21.307968655713804
bus_2008,24,21.068816549100028
bus_3002,1,20.773842035175292
bus_3002,2,20.773842035175292
bus_3002,3,20.773842035175292
bus_3002,4,20.773842035175292
bus_3002,5,20.780347776967094
bus_3002,6,20.78559992501965
bus_3002,7,20.813849563487306
bus_3002,8,20.828105610397678
bus_3002,9,20.832544074020777
bus_3002,10,20.688418798125614
bus_3002,11,20.96422793280472
bus_3002,12,20.91918132362549
bus_3002,13,20.85708550144973
bus_3002,14,20.888133412537663
bus_3002,15,20.85708550144973
bus_3002,16,20.85708550144973
bus_3002,17,20.930948574956947
bus_3002,18,20.97941602348943
bus_3002,19,21.19388394459039
bus_3002,20,21.18390482853305
bus_3002,21,21.193883944590365
bus_3002,22,20.97941602348927
bus_3002,23,20.87317561103008
bus_3002,24,20.931419146197197
bus_3006,1,0.01
bus_3006,2,0.01
bus_3006,3,0.01
bus_3006,4,0.01
bus_3006,5,0.01
bus_3006,6,0.01
bus_3006,7,0.01
bus_3006,8,0.01
bus_3006,9,0.01
bus_3006,10,0.01
bus_3006,11,0.01
bus_3006,12,20.911388815685573
bus_3006,13,21.05063139605743
bus_3006,14,20.98101010587151
bus_3006,15,21.05063139605743
bus_3006,16,21.050631396057433
bus_3006,17,21.05043348630984
bus_3006,18,21.280468030460202
bus_3006,19,21.274080905037824
bus_3006,20,21.38204843964844
bus_3006,21,21.274080905037813
bus_3006,22,21.280468030460224
bus_3006,23,21.28557250147451
bus_3006,24,21.1005690491341
bus_4002,1,20.719145790877988
bus_4002,2,20.719145790877988
bus_4002,3,20.719145790877988
bus_4002,4,20.719145790877988
bus_4002,5,20.72415797235561
bus_4002,6,20.72822150764548
bus_4002,7,20.77025614793624
bus_4002,8,20.781935366890067
bus_4002,9,20.78557646596156
bus_4002,10,20.66753426197891
bus_4002,11,20.890224091019913
bus_4002,12,20.90924130089441
bus_4002,13,20.849348972873866
bus_4002,14,20.87929513688418
bus_4002,15,20.849348972873866
bus_4002,16,20.849348972873862
bus_4002,17,20.921945892402142
bus_4002,18,20.975021476376977
bus_4002,19,21.185067064936494
bus_4002,20,21.176601073683905
bus_4002,21,21.185067064936483
bus_4002,22,20.975021476376817
bus_4002,23,20.867155729009284
bus_4002,24,20.920646329780666
bus_4003,1,20.545900778000856
bus_4003,2,20.545900778000856
bus_4003,3,20.545900778000856
bus_4003,4,20.545900778000856
bus_4003,5,20.546186952066464
bus_4003,6,20.546424285243933
bus_4003,7,20.63235759082725
bus_4003,8,20.635840741771553
bus_4003,9,20.637053378008183
bus_4003,10,20.601961718538234
bus_4003,11,20.66899707626913
bus_4003,12,20.886138368360186
bus_4003,13,20.828797179170973
bus_4003,14,20.857467773765602
bus_4003,15,20.828797179170973
bus_4003,16,20.82879717917096
bus_4003,17,20.9004542450429
bus_4003,18,20.9616018325167
bus_4003,19,21.16467387544832
bus_4003,20,21.157590438180236
bus_4003,21,21.16467387544833
bus_4003,22,20.961601832516536
bus_4003,23,20.84877279426472
bus_4003,24,20.89535284799437
bus_4017,1,20.47355978619273
bus_4017,2,20.47355978619273
bus_4017,3,20.47355978619273
bus_4017,4,20.473559786192734
bus_4017,5,20.47179275557272
bus_4017,6,20.470331735429895
bus_4017,7,20.575
bus_4017,8,20.575
bus_4017,9,20.575
bus_4017,10,20.575
bus_4017,11,20.575
bus_4017,12,20.876985405719967
bus_4017,13,20.820942917294325
bus_4017,14,20.84896416150717
bus_4017,15,20.820942917294325
bus_4017,16,20.820942917294314
bus_4017,17,20.892085723874587
bus_4017,18,20.956697241323628
bus_4017,19,21.15744926242455
bus_4017,20,21.15106282717332
bus_4017,21,21.157449262424564
bus_4017,22,20.956697241323464
bus_4017,23,20.842054227006944
