Bus,Time,Value
bus_10013,1,0.01
bus_10013,2,0.01
bus_10013,3,0.01
bus_10013,4,0.01
bus_10013,5,0.01
bus_10013,6,0.01
bus_10013,7,0.01
bus_10013,8,0.01
bus_10013,9,0.01
bus_10013,10,33.17016420534
bus_10013,11,33.483304764576445
bus_10013,12,33.494084389071205
bus_10013,13,37.93886811010483
bus_10013,14,37.93886811010483
bus_10013,15,37.93886811010483
bus_10013,16,37.93886811010483
bus_10013,17,37.93886811010483
bus_10013,18,37.93886811010483
bus_10013,19,37.93886811010483
bus_10013,20,37.93886811010483
bus_10013,21,37.93886811010483
bus_10013,22,37.93886811010483
bus_10013,23,37.93886811010483
bus_10013,24,37.93886811010483
bus_20013,1,29.708971231381085
bus_20013,2,27.92005807040236
bus_20013,3,27.92005807040236
bus_20013,4,30.038895728092566
bus_20013,5,37.76759253897759
bus_20013,6,37.76759253897759
bus_20013,7,37.76759253897759
bus_20013,8,37.76759253897759
bus_20013,9,37.76759253897759
bus_20013,10,37.76759253897759
bus_20013,11,38.13557403861092
bus_20013,12,38.138155207136954
bus_20013,13,38.04180574767474
bus_20013,14,38.04139515089131
bus_20013,15,38.04139462488264
bus_20013,16,37.94980848490707
bus_20013,17,37.95967761257941
bus_20013,18,38.11854703486064
bus_20013,19,38.12514345806021
bus_20013,20,38.12526283712858
bus_20013,21,38.12517113686886
bus_20013,22,38.1207086931595
bus_20013,23,38.11856749032493
bus_20013,24,38.030480800528025
bus_20083,1,0.01
bus_20083,2,0.01
bus_20083,3,0.01
bus_20083,4,0.01
bus_20083,5,0.01
bus_20083,6,0.01
bus_20083,7,0.01
bus_20083,8,0.01
bus_20083,9,0.01
bus_20083,10,0.01
bus_20083,11,0.01
bus_20083,12,0.01
bus_20083,13,0.01
bus_20083,14,0.01
bus_20083,15,0.01
bus_20083,16,37.959921078579825
bus_20083,17,37.967667878973046
bus_20083,18,38.12586295079153
bus_20083,19,38.13994859022948
bus_20083,20,38.14026383387767
bus_20083,21,38.15111780076883
bus_20083,22,38.13443131752268
bus_20083,23,38.13638662366874
bus_20083,24,38.05391052147128
bus_30023,1,37.46917527317516
bus_30023,2,37.4722734404844
bus_30023,3,37.472273440484386
bus_30023,4,37.800639462789455
bus_30023,5,37.835780962236115
bus_30023,6,37.530401403989046
bus_30023,7,37.61967512258158
bus_30023,8,37.56678478399003
bus_30023,9,37.77342309130499
bus_30023,10,37.85566464905219
bus_30023,11,37.925444996356646
bus_30023,12,37.926031884132186
bus_30023,13,37.94148745347633
bus_30023,14,37.9610443337783
bus_30023,15,37.960493003383675
bus_30023,16,37.95561676584868
bus_30023,17,37.957693600558684
bus_30023,18,37.96810513237436
bus_30023,19,37.987508309192556
bus_30023,20,37.98817613279632
bus_30023,21,37.987421307981904
bus_30023,22,37.96811626205335
bus_30023,23,37.96660287884073
bus_30023,24,37.97413848610641
bus_30063,1,0.01
bus_30063,2,0.01
bus_30063,3,0.01
bus_30063,4,0.01
bus_30063,5,0.01
bus_30063,6,0.01
bus_30063,7,0.01
bus_30063,8,0.01
