Time,Coal_100_200,Coal_200_300,Coal_300_400,Coal_400_600,Coal_50_100,Coal_600_800,Coal_800_1000,Coal_All_n_0_100,Coal_All_n_100_200,Coal_All_n_ovr_200,Coal_below_50,Coal_ovr_1000,Gas_100_200,Gas_200_300,Gas_300_400,Gas_400_600,Gas_50_100,Gas_600_800,Gas_800_1000,Gas_All_n_0_100,Gas_All_n_100_200,Gas_All_n_ovr_200,Gas_below_50,Gas_ovr_1000,Nuclear_100_200,Nuclear_200_300,Nuclear_300_400,Nuclear_400_600,Nuclear_50_100,Nuclear_600_800,Nuclear_800_1000,Nuclear_All_n_0_100,Nuclear_All_n_100_200,Nuclear_All_n_ovr_200,Nuclear_below_50,Nuclear_ovr_1000
1,549.5205883061999,0.0,952.0500000000001,1812.3997422595,225.0,640.548765252,2126.2979337996,0.0,344.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.999999975,0.0,0.0,201.6,1604.8479850620001,380.72883148899996,25.211965815400003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
2,549.5205883061999,0.0,952.0500000000001,1812.3997422595,225.0,640.548765252,2047.3298635862998,0.0,344.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.999999975,0.0,0.0,201.6,1604.8479850620001,380.72883148899996,25.211965815400003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
3,549.5205883061999,0.0,952.0500000000001,1812.3997422595,225.0,640.548765252,2047.3298635862998,0.0,344.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.999999975,0.0,0.0,201.6,1604.8479850620001,380.72883148899996,25.211965815400003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
4,549.5205883061999,0.0,952.0500000000001,1812.3997422595,225.0,640.548765252,2002.9779341078997,0.0,344.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.999999975,0.0,0.0,201.6,1604.8479850620001,380.72883148899996,25.211965815400003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
5,549.5205883061999,0.0,952.0500000000001,1812.3997422595,225.0,640.548765252,2002.9779341078997,0.0,344.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.999999975,0.0,0.0,201.6,1604.8479850620001,380.72883148899996,25.211965815400003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
6,549.5205883061999,0.0,952.0500000000001,1812.3997422595,225.0,640.548765252,1972.6888113116997,0.0,344.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.999999975,0.0,0.0,201.6,1604.8479850620001,380.72883148899996,25.211965815400003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
7,549.5205883061999,0.0,952.0500000000001,1812.3997422595,225.0,640.548765252,1972.6888113116997,0.0,344.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.999999975,0.0,0.0,201.6,1604.8479850620001,380.72883148899996,25.211965815400003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
8,549.5205883061999,0.0,952.0500000000001,1812.3997422595,225.0,640.548765252,2039.7575833496999,0.0,344.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.999999975,0.0,0.0,201.6,1604.8479850620001,380.72883148899996,25.211965815400003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
9,549.5205883061999,0.0,952.0500000000001,1812.3997422595,225.0,715.6438875035999,2039.7575833496999,0.0,344.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.999999975,0.0,0.0,201.6,1604.8479850620001,380.72883148899996,25.211965815400003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
10,549.5205883061999,0.0,952.0500000000001,1812.3997422595,225.0,715.6438875035999,2039.7575833496999,0.0,344.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.999999975,0.0,0.0,201.6,1604.8479850620001,380.72883148899996,25.211965815400003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
