name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
ODESSA_NG,ngcc,bus_30483,95.5,7.478472200211501,28.65,3,286.5,6685.0,95.5,4,4
WICHITAFALLS_C,coal,bus_30483,726.0,10.535452646325,217.8,4,2178.0,50820.0,239.58,12,12
WICHITAFALLS_NG,ngcc,bus_30483,80.0,7.251792658811767,24.0,3,240.0,5600.0,80.0,4,4
SILVER_NG,ngcc,bus_30483,537.7,7.748874464016301,161.31,3,1613.1000000000001,37639.0,537.7,4,4
SNYDER_NG,ngcc,bus_30483,153.89999999999998,7.334356359503801,46.17,3,461.69999999999993,10772.999999999998,153.89999999999998,4,4
GRAHAM_NG,ngcc,bus_30483,634.7,8.2004152572867,190.4,3,1904.1000000000001,44429.0,634.7,4,4
PALOPINTO_NG,ngcc,bus_30483,603.6,7.55840906236548,181.08,3,1810.8000000000002,42252.0,603.6,4,4
ODESSA_NG_2,ngcc,bus_10013,1343.78,7.712174456125176,403.13999999999993,3,4031.34,94064.59999999999,1343.78,4,4
MONAHANS_NG,ngcc,bus_10813,178.8,7.7479666936021,53.64,3,536.4000000000001,12516.0,178.8,4,4
IRAAN_NG,ngcc,bus_10813,7.6,7.177396319774401,2.28,3,22.799999999999997,532.0,7.6,4,4
ODESSA_NG_3,ngcc,bus_10813,286.5,8.0974673643751,85.95,3,859.5,20055.0,286.5,4,4
MONAHANS_NG_4,ngcc,bus_10483,918.6,7.7639679290785795,275.58,3,2755.8,64302.0,918.6,4,4
SAVOY_NG,ngcc,bus_20043,1175.4,8.4414615390645,352.62,3,3526.2000000000003,82278.0,1175.4,4,4
SHERMAN_NG,ngcc,bus_20043,803.19,8.0375499534632,240.96,3,2409.57,56223.3,803.19,4,4
PARIS_NG,ngcc,bus_81293,1173.6,7.7101011970065585,352.04999999999995,3,3520.7999999999997,82152.0,1173.6,4,4
GREENVILLE_NG,ngcc,bus_81293,84.7,7.4409575530843,25.41,3,254.10000000000002,5929.0,84.7,4,4
MOUNTPLEASANT_C,coal,bus_81293,1980.0,11.107824845595,594.0,4,5940.0,138600.0,653.4,12,12
DENTON_NG,ngcc,bus_50073,128.1,7.373180384160401,38.43,3,384.29999999999995,8967.0,128.1,4,4
PARIS_NG_5,ngcc,bus_21153,184.72,7.7650410692679,55.41,3,554.16,12930.4,184.72,4,4
BASTROP_NG,ngcc,bus_63493,1233.99,7.967879602427781,370.2,3,3701.9700000000003,86379.3,1233.99,4,4
AUSTIN_NG,ngcc,bus_63493,1659.1999999999998,7.5262292757634,497.75999999999993,3,4977.599999999999,116143.99999999999,1659.1999999999998,4,4
CEDARCREEK_NG,ngcc,bus_63493,618.6899999999999,7.836336461125601,185.64,3,1856.0699999999997,43308.299999999996,618.6899999999999,4,4
MISSION_NG,ngcc,bus_40403,528.99,7.740032893119101,158.7,3,1586.97,37029.3,528.99,4,4
CHRISTINE_C,coal,bus_74063,410.0,10.625980392213,123.0,4,1230.0,28700.0,135.3,12,12
FANNIN_C,coal,bus_74063,622.4,11.032689076053002,186.72,4,1867.1999999999998,43568.0,205.392,12,12
NURSERY_NG,ngcc,bus_74063,215.2,7.30609814591958,64.56,3,645.5999999999999,15064.0,215.2,4,4
VICTORIA_NG,ngcc,bus_74063,479.3,7.6859099543294676,143.78,3,1437.9,33551.0,479.3,4,4
POINTCOMFORT_NG,ngcc,bus_74063,1062.5,7.599309680235475,318.75,3,3187.5,74375.0,1062.5,4,4
WHARTON_NG,ngcc,bus_74063,580.09,7.54387827273826,174.01,3,1740.27,40606.3,580.09,4,4
LAREDO_NG,ngcc,bus_41473,263.6,7.594923470802301,79.08,3,790.8000000000001,18452.0,263.6,4,4
SANTAROSA_C,coal,bus_40673,200.5,9.881302521330332,60.14999999999999,4,601.5,14035.0,66.165,12,12
BISHOP_NG,ngcc,bus_40173,44.2,7.3113050100105,13.26,3,132.60000000000002,3094.0,44.2,4,4
CORPUSCHRISTI_NG,ngcc,bus_40173,253.77,7.441476612283501,76.13,3,761.3100000000001,17763.9,253.77,4,4
GREGORY_NG,ngcc,bus_40613,948.99,7.68229407648855,284.7,3,2846.9700000000003,66429.3,948.99,4,4
CORPUSCHRISTI_NG_6,ngcc,bus_40613,395.54,7.810296152057,118.66,3,1186.6200000000001,27687.800000000003,395.54,4,4
CORPUSCHRISTI_NG_7,ngcc,bus_40853,1082.2,8.045689801068374,324.66,3,3246.6000000000004,75754.0,1082.2,4,4
