Line,Time,Value
line_4079_4040,19,-282.99249437609564
line_4079_4040,20,-281.1283509446156
line_4079_4040,21,-278.1753724311157
line_4079_4040,22,-272.2726189137556
line_4079_4040,23,-261.25207211989743
line_4079_4040,24,-250.2759886419403
line_4088_4042,1,-159.82908237344395
line_4088_4042,2,-159.65803540835998
line_4088_4042,3,-160.16691115254218
line_4088_4042,4,-161.35051273227253
line_4088_4042,5,-163.40218312734152
line_4088_4042,6,-167.50681746862074
line_4088_4042,7,-172.13194539193552
line_4088_4042,8,-174.22109644424143
line_4088_4042,9,-176.00658955230813
line_4088_4042,10,-178.88695307512415
line_4088_4042,11,-179.14366321763183
line_4088_4042,12,-181.61835861122483
line_4088_4042,13,-181.07031964015138
line_4088_4042,14,-179.72840700921623
line_4088_4042,15,-178.66378404135787
line_4088_4042,16,-170.0700977142415
line_4088_4042,17,-175.43404002482413
line_4088_4042,18,-187.36239368971135
line_4088_4042,19,-194.29992061404616
line_4088_4042,20,-194.0677804194003
line_4088_4042,21,-192.36020027984608
line_4088_4042,22,-187.75442533721053
line_4088_4042,23,-179.7048711308231
line_4088_4042,24,-171.54263407983
line_5003_5181,1,-13.306864630803119
line_5003_5181,2,-13.386834127535877
line_5003_5181,3,-13.343629564398782
line_5003_5181,4,-13.23817463146338
line_5003_5181,5,-13.07867101695021
line_5003_5181,6,-12.867244460606656
line_5003_5181,7,-3.855290217399135
line_5003_5181,8,-4.2247167789134075
line_5003_5181,9,3.4827670675761233
line_5003_5181,10,12.42205932438467
line_5003_5181,11,15.614407989014971
line_5003_5181,12,4.979090117436899
line_5003_5181,13,-0.2944812538634949
line_5003_5181,14,0.35197232679753654
line_5003_5181,15,0.489343011773002
line_5003_5181,16,-0.7238963093184339
line_5003_5181,17,1.0110859719091536
line_5003_5181,18,1.1927889805675989
line_5003_5181,19,0.47646172091833705
line_5003_5181,20,0.252270284267027
line_5003_5181,21,0.3631333075853149
line_5003_5181,22,0.9814679012582566
line_5003_5181,23,0.908289760513469
line_5003_5181,24,0.7558455375030917
line_5161_5181,1,-20.870683751520318
line_5161_5181,2,-20.977689479146775
line_5161_5181,3,-20.970548647964748
line_5161_5181,4,-20.9617599336283
line_5161_5181,5,-21.05342281787253
line_5161_5181,6,-21.287556418499577
line_5161_5181,7,-12.073090941989221
line_5161_5181,8,-12.601636303825792
line_5161_5181,9,-4.550337382354543
line_5161_5181,10,4.703499210889776
line_5161_5181,11,5.231174282240197
line_5161_5181,12,-3.2147593158884193
line_5161_5181,13,-0.4156631753714848
line_5161_5181,14,0.4669988715496025
line_5161_5181,15,0.8205810564364704
line_5161_5181,16,-0.07499660072509073
line_5161_5181,17,-0.5245458460415335
line_5161_5181,18,0.19603548553801886
line_5161_5181,19,0.0033932541743268985
line_5161_5181,20,0.02206908412283326
line_5161_5181,21,0.227347408381533
line_5161_5181,22,0.7625417366579086
line_5161_5181,23,0.4670352384570293
line_5161_5181,24,0.2967967066674575
line_5480_5048,1,-116.2870509249068
line_5480_5048,2,-113.25773938424277
line_5480_5048,3,-114.92698875622938
line_5480_5048,4,-119.00511118960019
line_5480_5048,5,-125.24406064656748
line_5480_5048,6,-133.5861467832583
line_5480_5048,7,-135.5971259176367
line_5480_5048,8,-136.97107805364521
line_5480_5048,9,-136.9118004209938
line_5480_5048,10,-137.30990825707408
line_5480_5048,11,-108.57595653405704
line_5480_5048,12,-100.68719262013951
line_5480_5048,13,-189.18669894189787
line_5480_5048,14,-191.03468872765734
line_5480_5048,15,-191.59367049624473
line_5480_5048,16,-191.38546121019522
line_5480_5048,17,-171.17274203163316
line_5480_5048,18,-193.4993785703231
line_5480_5048,19,-230.31306446578338
line_5480_5048,20,-238.06073184152865
line_5480_5048,21,-231.16446956350114
line_5480_5048,22,-201.06155658913525
line_5480_5048,23,-187.45533051617218
line_5480_5048,24,-175.35872143267312
line_7039_7101,1,108.78859285167466
line_7039_7101,2,109.97595727212244
line_7039_7101,3,110.26345720265823
line_7039_7101,4,111.10833784297937
line_7039_7101,5,114.33054396809354
line_7039_7101,6,120.66751044564458
line_7039_7101,7,128.06463496383947
line_7039_7101,8,131.67322804416852
line_7039_7101,9,135.1272067448316
line_7039_7101,10,140.41994080781745
line_7039_7101,11,142.74759501011505
