name,typ,node,maxcap,marginal_cost,mincap,var_om,no_load,st_cost,ramp,minup,mindn
MONAHANS,ngcc,bus_1048,325.2,19.26,97.56,3,975.5999999999999,22764.0,325.2,4,4
MONAHANS_2,ngcc,bus_1049,325.2,19.26,97.56,3,975.5999999999999,22764.0,325.2,4,4
MONAHANS_3,ngcc,bus_1050,89.4,17.64,26.82,3,268.20000000000005,6258.0,89.4,4,4
MONAHANS_4,ngcc,bus_1051,89.4,17.64,26.82,3,268.20000000000005,6258.0,89.4,4,4
MONAHANS_5,ngcc,bus_1052,89.4,17.64,26.82,3,268.20000000000005,6258.0,89.4,4,4
MONAHANS_6,ngcc,bus_1053,178.8,18.25,53.64,3,536.4000000000001,12516.0,178.8,4,4
IRAAN,ngcc,bus_1059,5.6,17.06,1.68,3,16.799999999999997,392.0,5.6,4,4
IRAAN_7,ngcc,bus_1001,162.5,8.515,48.75,3,487.5,11375.0,162.5,4,4
ODESSA,ngcc,bus_1001,1630.28,18.266666666666666,489.08999999999986,3,4890.84,114119.59999999999,1630.28,4,4
ODESSA_8,ngcc,bus_5262,95.5,17.68,28.65,3,286.5,6685.0,95.5,4,4
WICHITAFALLS,coal,bus_5262,806.0,16.918,241.8,4,2418.0,56420.0,265.98,12,12
SILVER,ngcc,bus_5262,537.7,20.586666666666673,161.31,3,1613.1000000000001,37639.0,537.7,4,4
ALEDO,ngcc,bus_5262,4.8,15.97,1.44,3,14.399999999999999,336.0,4.8,4,4
GRAHAM,ngcc,bus_5262,634.7,17.99,190.4,3,1904.1000000000001,44429.0,634.7,4,4
GRANBURY,ngcc,bus_5262,1146.0000000000002,18.058571428571426,343.8,3,3438.000000000001,80220.00000000001,1146.0000000000002,4,4
PALOPINTO,ngcc,bus_5262,603.6,16.722,181.08,3,1810.8000000000002,42252.0,603.6,4,4
SAVOY,ngcc,bus_5084,1175.4,28.58,352.62,3,3526.2000000000003,82278.0,1175.4,4,4
SHERMAN,ngcc,bus_5084,803.19,27.34,240.96,3,2409.57,56223.3,803.19,4,4
PARIS,ngcc,bus_2001,1358.3200000000004,17.728749999999994,407.45999999999987,3,4074.960000000001,95082.40000000002,1358.3200000000004,4,4
DENTON,ngcc,bus_5007,128.1,16.355,38.43,3,384.29999999999995,8967.0,128.1,4,4
POOLVILLE,ngcc,bus_5007,746.01,17.55,223.8,3,2238.0299999999997,52220.7,746.01,4,4
BRIDGEPORT,ngcc,bus_5007,1290.38,17.13285714285714,387.12,3,3871.1400000000003,90326.6,1290.38,4,4
BASTROP,ngcc,bus_6018,1233.99,18.215999999999998,370.2,3,3701.9700000000003,86379.3,1233.99,4,4
MARION,ngcc,bus_6018,1088.22,17.78,326.45999999999987,3,3264.66,76175.40000000001,1088.22,4,4
ROCKDALE,coal,bus_6018,1252.1,19.105,375.63,4,3756.2999999999997,87647.0,413.193,12,12
CEDARCREEK,ngcc,bus_6018,618.6899999999998,17.95,185.64,3,1856.0699999999995,43308.29999999999,618.6899999999998,4,4
NEWBRAUNFELS,ngcc,bus_6018,992.2,17.892,297.68,3,2976.6000000000004,69454.0,992.2,4,4
MISSION,ngcc,bus_4040,528.99,29.63,158.7,3,1586.97,37029.3,528.99,4,4
LAREDO,ngcc,bus_4040,263.6,29.13,79.08,3,790.8000000000001,18452.0,263.6,4,4
CHRISTINE,coal,bus_6199,410.0,18.14,123.0,4,1230.0,28700.0,135.3,12,12
PEARSALL,ngcc,bus_6199,267.6,28.155,80.28,3,802.8000000000001,18732.0,267.6,4,4
SANANTONIO,ngcc,bus_6199,247.0,15.591428571428573,74.1,3,741.0,17290.0,247.0,4,4
FANNIN,coal,bus_7098,622.4,18.63,186.72,4,1867.1999999999998,43568.0,205.392,12,12
NURSERY,ngcc,bus_7098,215.2,16.803999999999995,64.56,3,645.5999999999999,15064.0,215.2,4,4
VICTORIA,ngcc,bus_7098,479.3,17.58666666666667,143.78,3,1437.9,33551.0,479.3,4,4
POINTCOMFORT,ngcc,bus_7098,1062.5,17.408749999999998,318.75,3,3187.5,74375.0,1062.5,4,4
WHARTON,ngcc,bus_7098,580.09,17.29,174.01,3,1740.27,40606.3,580.09,4,4
