Line,Time,Value
line_4003_4040,1,-135.53281408386454
line_4003_4040,2,-142.10326596734888
line_4003_4040,3,-140.20320382290902
line_4003_4040,4,-135.84264196622064
line_4003_4040,5,-132.24527060727422
line_4003_4040,6,-131.9300128245188
line_4003_4040,7,-123.99279697695445
line_4003_4040,8,-112.28573850316809
line_4003_4040,9,-107.08404500273508
line_4003_4040,10,-102.95765301516514
line_4003_4040,11,-119.66385518561746
line_4003_4040,12,-128.74241046592118
line_4003_4040,13,-121.95676674573109
line_4003_4040,14,-119.61760824366964
line_4003_4040,15,-113.01123174295593
line_4003_4040,16,-110.45781246921143
line_4003_4040,17,-107.49721009666675
line_4003_4040,18,-109.15326408437598
line_4003_4040,19,-111.98982310511295
line_4003_4040,20,-109.559407014345
line_4003_4040,21,-107.47621966017375
line_4003_4040,22,-101.77511021882049
line_4003_4040,23,-96.22990547316681
line_4003_4040,24,-96.4441101482098
line_4003_4017,1,12.600755097522296
line_4003_4017,2,11.998005429581198
line_4003_4017,3,12.209789305038768
line_4003_4017,4,12.707486921369352
line_4003_4017,5,13.328238507210187
line_4003_4017,6,12.999380373154253
line_4003_4017,7,-4.9522038135268645
line_4003_4017,8,-22.295817452919437
line_4003_4017,9,-34.038792008719184
line_4003_4017,10,-46.97159066458181
line_4003_4017,11,-41.704246664478276
line_4003_4017,12,-39.002511353271785
line_4003_4017,13,-44.89035016751245
line_4003_4017,14,-45.554635732161216
line_4003_4017,15,-49.99035654535248
line_4003_4017,16,-54.00712768446617
line_4003_4017,17,-65.01486040584652
line_4003_4017,18,-81.57047534165918
line_4003_4017,19,-89.94327609911002
line_4003_4017,20,-92.05730649498881
line_4003_4017,21,-91.44663873750272
line_4003_4017,22,-89.28131722186458
line_4003_4017,23,-82.00403311264878
line_4003_4017,24,-70.16760284695428
line_4003_4071,1,-106.67228537862664
line_4003_4071,2,-100.5984545998033
line_4003_4071,3,-102.96540665085372
line_4003_4071,4,-108.5874362438416
line_4003_4071,5,-115.72608981275303
line_4003_4071,6,-121.47020781699908
line_4003_4071,7,-118.17757380406488
line_4003_4071,8,-115.79733567203496
line_4003_4071,9,-112.43621135453623
line_4003_4071,10,-108.66573396287015
line_4003_4071,11,-100.23904644725395
line_4003_4071,12,-94.1516356018482
line_4003_4071,13,-92.46432477948781
line_4003_4071,14,-91.02548000122357
line_4003_4071,15,-90.81250418989544
line_4003_4071,16,-89.50110140230522
line_4003_4071,17,-86.57027111369723
line_4003_4071,18,-82.08330666620475
line_4003_4071,19,-79.18272555509316
line_4003_4071,20,-78.54196828164186
line_4003_4071,21,-78.74835383273893
line_4003_4071,22,-80.77873897558959
line_4003_4071,23,-83.10485302730658
line_4003_4071,24,-84.12804221294851
line_1001_5449,1,61.8925973429648
line_1001_5449,2,61.718505816613785
line_1001_5449,3,61.78280258111948
line_1001_5449,4,61.934702621098815
line_1001_5449,5,62.019881246124214
line_1001_5449,6,61.9882431638242
line_1001_5449,7,62.05011763813917
line_1001_5449,8,62.026900946678765
line_1001_5449,9,61.89956213275753
line_1001_5449,10,46.71946735170046
line_1001_5449,11,27.9695865747944
line_1001_5449,12,47.074286468884964
line_1001_5449,13,61.307715622296136
line_1001_5449,14,61.33454803390948
line_1001_5449,15,60.472652745556395
