Node,Time,Value
bus_1001,1,0.0
bus_1001,2,0.0
bus_1001,3,0.0
bus_1001,4,0.0
bus_1001,5,0.0
bus_1001,6,0.0
bus_1001,7,0.0
bus_1001,8,0.0
bus_1001,9,0.0
bus_1001,10,0.0
bus_1001,11,0.0
bus_1001,12,0.0
bus_1001,13,0.0
bus_1001,14,0.0
bus_1001,15,0.0
bus_1001,16,0.0
bus_1001,17,0.0
bus_1001,18,0.0
bus_1001,19,0.0
bus_1001,20,0.0
bus_1001,21,0.0
bus_1001,22,0.0
bus_1001,23,0.0
bus_1001,24,0.0
bus_1004,1,0.0
bus_1004,2,0.0
bus_1004,3,0.0
bus_1004,4,0.0
bus_1004,5,0.0
bus_1004,6,0.0
bus_1004,7,0.0
bus_1004,8,0.0
bus_1004,9,0.0
bus_1004,10,0.0
bus_1004,11,0.0
bus_1004,12,0.0
bus_1004,13,0.0
bus_1004,14,0.0
bus_1004,15,0.0
bus_1004,16,0.0
bus_1004,17,0.0
bus_1004,18,0.0
bus_1004,19,0.0
bus_1004,20,0.0
bus_1004,21,0.0
bus_1004,22,0.0
bus_1004,23,0.0
bus_1004,24,0.0
bus_1033,1,0.0
bus_1033,2,0.0
bus_1033,3,0.0
bus_1033,4,0.0
bus_1033,5,0.0
bus_1033,6,0.0
bus_1033,7,0.0
bus_1033,8,0.0
bus_1033,9,0.0
bus_1033,10,0.0
bus_1033,11,0.0
bus_1033,12,0.0
bus_1033,13,0.0
bus_1033,14,0.0
bus_1033,15,0.0
bus_1033,16,0.0
bus_1033,17,0.0
bus_1033,18,0.0
bus_1033,19,0.0
bus_1033,20,0.0
bus_1033,21,0.0
bus_1033,22,0.0
bus_1033,23,0.0
bus_1033,24,0.0
bus_1048,1,0.0
bus_1048,2,0.0
bus_1048,3,0.0
bus_1048,4,0.0
bus_1048,5,0.0
bus_1048,6,0.0
bus_1048,7,0.0
bus_1048,8,0.0
bus_1048,9,0.0
bus_1048,10,0.0
bus_1048,11,0.0
bus_1048,12,0.0
bus_1048,13,0.0
bus_1048,14,0.0
bus_1048,15,0.0
bus_1048,16,0.0
bus_1048,17,0.0
bus_1048,18,0.0
bus_1048,19,0.0
bus_1048,20,0.0
bus_1048,21,0.0
bus_1048,22,0.0
bus_1048,23,0.0
bus_1048,24,0.0
bus_1063,1,0.0
bus_1063,2,0.0
bus_1063,3,0.0
bus_1063,4,0.0
bus_1063,5,0.0
bus_1063,6,0.0
bus_1063,7,0.0
bus_1063,8,0.0
bus_1063,9,0.0
bus_1063,10,0.0
bus_1063,11,0.0
bus_1063,12,0.0
bus_1063,13,0.0
bus_1063,14,0.0
bus_1063,15,0.0
bus_1063,16,0.0
bus_1063,17,0.0
bus_1063,18,0.0
bus_1063,19,0.0
bus_1063,20,0.0
bus_1063,21,0.0
bus_1063,22,0.0
bus_1063,23,0.0
bus_1063,24,0.0
bus_1064,1,0.0
bus_1064,2,0.0
bus_1064,3,0.0
bus_1064,4,0.0
bus_1064,5,0.0
bus_1064,6,0.0
bus_1064,7,0.0
bus_1064,8,0.0
bus_1064,9,0.0
bus_1064,10,0.0
bus_1064,11,0.0
bus_1064,12,0.0
bus_1064,13,0.0
bus_1064,14,0.0
bus_1064,15,0.0
bus_1064,16,0.0
bus_1064,17,0.0
bus_1064,18,0.0
bus_1064,19,0.0
bus_1064,20,0.0
bus_1064,21,0.0
bus_1064,22,0.0
bus_1064,23,0.0
bus_1064,24,0.0
bus_1070,1,0.0
bus_1070,2,0.0
bus_1070,3,0.0
bus_1070,4,0.0
bus_1070,5,0.0
bus_1070,6,0.0
bus_1070,7,0.0
bus_1070,8,0.0
bus_1070,9,0.0
bus_1070,10,0.0
bus_1070,11,0.0
bus_1070,12,0.0
bus_1070,13,0.0
bus_1070,14,0.0
bus_1070,15,0.0
bus_1070,16,0.0
bus_1070,17,0.0
bus_1070,18,0.0
bus_1070,19,0.0
