,Settlement Point Price
0,20.54
1,19.82
2,19.6
3,19.25
4,21.28
5,22.63
6,24.06
7,24.72
8,25.05
9,24.88
10,24.75
11,25.41
12,24.22
13,22.93
14,22.91
15,22.81
16,23.72
17,31.29
18,35.57
19,31.05
20,28.91
21,27.4
22,25.41
23,23.87
24,23.82
25,23.16
26,23.2
27,22.91
28,25.09
29,28.65
30,39.13
31,39.06
32,36.26
33,39.55
34,40.25
35,37.33
36,34.61
37,34.87
38,34.84
39,34.65
40,36.45
41,64.67
42,66.72
43,40.92
44,40.1
45,35.37
46,31.53
47,26.41
48,26.5
49,24.08
50,24.64
51,24.15
52,24.27
53,29.81
54,55.11
55,40.24
56,35.26
57,35.63
58,32.79
59,29.89
60,27.77
61,26.51
62,23.81
63,24.49
64,27.16
65,41.4
66,44.77
67,34.8
68,33.82
69,30.14
70,27.12
71,23.63
72,22.22
73,22.2
74,21.34
75,22.08
76,23.12
77,28.38
78,55.61
79,46.54
80,36.13
81,31.9
82,28.77
83,26.15
84,23.67
85,23.02
86,21.74
87,21.07
88,22.69
89,34.73
90,32.18
91,26.53
92,26.74
93,27.36
94,24.22
95,22.63
96,21.27
97,20.06
98,19.9
99,19.48
100,20.68
101,22.69
102,25.87
103,29.18
104,31.11
105,30.02
106,24.87
107,23.11
108,22.8
109,21.63
110,20.34
111,19.62
112,19.66
113,24.02
114,21.7
115,20.08
116,19.41
117,18.38
118,19.15
119,16.99
120,16.67
121,15.68
122,16.0
123,16.0
124,17.77
125,18.6
126,17.52
127,19.22
128,21.91
129,21.83
130,19.54
131,18.09
132,17.23
133,16.62
134,15.94
135,15.94
136,16.54
137,21.2
138,20.87
139,19.02
140,17.22
141,16.45
142,16.22
143,15.76
144,11.91
145,11.33
146,12.43
147,12.45
148,15.44
149,19.13
150,19.16
151,21.8
152,21.72
153,22.27
154,22.0
155,22.28
156,22.84
157,23.06
158,22.35
159,22.37
160,22.64
161,40.29
162,31.42
163,22.76
164,22.37
165,22.25
166,20.85
167,18.74
168,15.65
169,15.37
170,15.44
171,16.89
172,17.94
173,20.89
174,23.63
175,26.48
176,25.0
177,22.1
178,22.57
179,20.73
180,21.5
181,21.84
182,21.63
183,21.27
184,21.85
185,41.37
186,32.39
187,25.52
188,24.73
189,25.15
190,22.03
191,21.28
192,19.2
193,18.56
194,19.3
195,19.02
196,20.6
197,21.62
198,33.72
199,29.43
200,25.88
201,26.02
202,23.09
203,22.25
204,21.74
205,20.77
206,20.1
207,20.06
208,20.83
209,29.53
210,31.92
211,24.64
212,24.62
213,24.22
214,22.68
215,21.45
216,18.3
217,17.89
218,17.56
219,18.19
220,19.0
221,20.96
222,36.77
223,28.11
224,23.88
225,22.55
226,21.6
227,20.69
228,19.93
229,19.76
230,18.87
231,18.62
232,19.34
233,25.81
234,24.15
235,20.9
236,20.47
237,20.4
238,18.71
239,17.41
240,16.74
241,16.83
242,16.63
243,16.45
244,18.53
245,19.32
246,23.07
247,22.33
248,21.22
249,20.71
250,20.38
251,19.64
252,18.59
253,18.53
254,18.24
255,19.24
256,19.79
257,28.75
258,28.79
259,24.33
260,22.21
261,22.12
262,19.77
263,19.45
264,19.91
265,18.94
266,18.07
267,17.57
268,18.46
269,18.12
270,19.37
271,20.14
272,20.93
273,21.17
274,20.1
275,20.12
276,20.16
277,20.45
278,20.92
279,20.76
280,21.47
281,30.28
282,37.64
283,30.2
284,28.27
285,26.65
286,22.48
287,21.57
288,22.95
289,21.87
290,22.39
291,22.07
292,23.79
293,24.94
294,26.24
295,29.41
296,36.02
297,33.29
298,31.17
299,27.22
300,26.5
301,23.76
302,22.0
303,21.78
304,23.47
305,38.88
306,52.27
307,40.27
308,34.09
309,31.56
310,26.68
311,25.71
312,23.59
313,22.85
314,22.1
315,23.94
316,25.27
317,31.07
318,65.92
319,50.33
320,32.73
321,30.25
322,27.82
323,27.01
324,25.17
325,24.23
326,22.79
327,22.04
328,23.94
329,33.45
330,36.13
331,28.65
332,26.69
333,24.3
334,22.36
335,21.76
336,20.81
337,20.57
338,20.76
339,20.58
340,22.13
341,25.52
342,39.75
343,34.26
344,30.17
345,32.67
346,30.87
347,29.14
348,27.74
349,23.73
350,22.39
351,22.51
352,23.53
353,36.92
354,35.36
355,27.53
356,25.53
357,23.41
358,23.48
359,21.71
360,21.91
361,21.56
362,21.59
363,21.38
364,22.61
365,23.21
366,39.74
367,34.3
368,32.66
369,30.61
370,27.94
371,25.55
372,25.23
373,24.13
374,23.37
375,22.93
376,22.87
377,33.46
378,31.66
379,25.6
380,24.81
381,23.38
382,21.94
383,20.35
384,18.95
385,17.74
386,18.21
387,18.07
388,22.97
389,23.27
390,29.89
391,27.19
392,27.69
393,30.75
394,31.16
395,32.87
396,30.42
397,29.07
398,27.39
399,27.44
400,27.81
401,43.3
402,37.32
403,28.45
404,28.35
405,26.27
406,23.95
407,21.5
408,16.93
409,15.36
410,15.23
411,14.31
412,15.6
413,21.39
414,30.05
415,27.73
416,24.37
417,24.35
418,23.54
419,22.29
420,19.87
421,18.93
422,18.82
423,18.17
424,18.91
425,27.18
426,22.97
427,19.1
428,18.58
429,17.71
430,14.52
431,12.65
432,11.27
433,11.12
434,11.34
435,11.38
436,12.75
437,13.6
438,17.16
439,19.99
440,24.69
441,22.04
442,21.48
443,21.88
444,21.58
445,21.7
446,22.31
447,22.4
448,22.87
449,35.21
450,52.8
451,44.31
452,39.03
453,34.83
454,31.78
455,28.46
456,24.83
457,24.51
458,22.95
459,23.3
460,23.88
461,26.25
462,39.52
463,44.76
464,50.6
465,36.56
466,28.99
467,26.81
468,25.23
469,23.78
470,22.31
471,20.4
472,20.12
473,24.51
474,29.6
475,26.25
476,25.57
477,23.21
478,19.3
479,18.63
480,16.75
481,17.02
482,16.42
483,16.71
484,17.85
485,18.34
486,33.34
487,29.05
488,23.71
489,20.19
490,18.69
491,16.84
492,16.25
493,17.68
494,16.96
495,16.43
496,18.04
497,23.14
498,22.05
499,19.97
500,19.24
501,16.53
502,13.94
503,11.62
504,6.82
505,6.29
506,5.67
507,5.59
508,7.25
509,13.8
510,23.17
511,21.93
512,20.46
513,21.28
514,21.1
515,19.91
516,20.41
517,19.23
518,18.5
519,19.08
520,19.07
521,24.56
522,26.18
523,21.73
524,21.66
525,21.98
526,18.76
527,17.59
528,16.78
529,18.19
530,18.91
531,20.37
532,22.9
533,21.93
534,35.04
535,33.69
536,33.17
537,29.8
538,28.34
539,25.09
540,24.35
541,20.99
542,20.51
543,20.92
544,21.68
545,32.58
546,49.92
547,39.5
548,34.52
549,27.58
550,25.1
