EIA_ID,plant,state,bal_auth,bus,capacity
6416,Denison,TX,ERCO,2103,101.6
6414,Whitney,TX,ERCO,5089,41.8
791,Canyon,TX,ERCO,6301,6.0
794,Lewisville,TX,ERCO,5342,2.8
3437,Eagle Pass,TX,ERCO,3120,9.6
3581,Abbott TP 3,TX,ERCO,6164,2.8
3582,Dunlap TP 1,TX,ERCO,6069,3.6
3583,H 4,TX,ERCO,6167,2.4
3584,H 5,TX,ERCO,6266,2.4
3585,Nolte,TX,ERCO,6167,2.4
3586,TP 4,TX,ERCO,6167,2.4
3594,Austin,TX,ERCO,6041,18.0
3595,Buchanan,TX,ERCO,3105,54.9
3597,Granite Shoals,TX,ERCO,6213,54.0
3598,Inks,TX,ERCO,3105,15.0
3599,Marble Falls,TX,ERCO,6082,39.6
3600,Marshall Ford,TX,ERCO,6349,108.0
6128,Amistad Dam & Power,TX,ERCO,3120,66.0
6410,Falcon Dam & Power,TX,ERCO,4045,31.5
61355,Arlington Outlet Hydroelectric Generator,TX,,5069,1.3
