EIA_ID,plant,state,bal_auth,week,mean,max,min
6414.0,Whitney,TX,ERCO,25.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,26.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,27.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,28.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,29.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,30.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,31.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,32.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,33.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,34.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,35.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,36.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,37.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,38.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,39.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,40.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,41.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,42.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,43.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,44.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,45.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,46.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,47.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,48.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,49.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,50.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,51.0,0.0,41.8,0.0
6414.0,Whitney,TX,ERCO,52.0,0.0,41.8,0.0
791.0,Canyon,TX,ERCO,1.0,1.8612528837604856,6.0,0.0
791.0,Canyon,TX,ERCO,2.0,2.049930489057504,6.0,0.0
791.0,Canyon,TX,ERCO,3.0,1.3173509171208782,6.0,0.0
791.0,Canyon,TX,ERCO,4.0,1.2285044420238234,6.0,0.0
791.0,Canyon,TX,ERCO,5.0,2.122891760075673,6.0,0.0
791.0,Canyon,TX,ERCO,6.0,3.072596261345764,6.0,0.0
791.0,Canyon,TX,ERCO,7.0,2.832093115797852,6.0,0.0
791.0,Canyon,TX,ERCO,8.0,2.5870945843518465,6.0,0.0
791.0,Canyon,TX,ERCO,9.0,2.0109852446431336,6.0,0.0
791.0,Canyon,TX,ERCO,10.0,0.9799584636356344,6.0,0.0
791.0,Canyon,TX,ERCO,11.0,1.0283387659369738,6.0,0.0
791.0,Canyon,TX,ERCO,12.0,0.9449599470772192,6.0,0.0
791.0,Canyon,TX,ERCO,13.0,0.9109907986528748,6.0,0.0
791.0,Canyon,TX,ERCO,14.0,1.283828976124612,6.0,0.0
791.0,Canyon,TX,ERCO,15.0,1.7492572517316465,6.0,0.0
791.0,Canyon,TX,ERCO,16.0,1.5828230666154317,6.0,0.0
791.0,Canyon,TX,ERCO,17.0,2.827682838964264,6.0,0.0
791.0,Canyon,TX,ERCO,18.0,1.3968743862668982,6.0,0.0
791.0,Canyon,TX,ERCO,19.0,3.8864159406497114,6.0,0.0
791.0,Canyon,TX,ERCO,20.0,2.380066427357852,6.0,0.0
791.0,Canyon,TX,ERCO,21.0,1.8030029077937173,6.0,0.0
791.0,Canyon,TX,ERCO,22.0,1.261801431510555,6.0,0.0
791.0,Canyon,TX,ERCO,23.0,1.3743852158770191,6.0,0.0
791.0,Canyon,TX,ERCO,24.0,1.2647268209932143,6.0,0.0
791.0,Canyon,TX,ERCO,25.0,1.5968351026413088,6.0,0.0
791.0,Canyon,TX,ERCO,26.0,1.1080719711592075,6.0,0.0
791.0,Canyon,TX,ERCO,27.0,2.392970162511622,6.0,0.0
791.0,Canyon,TX,ERCO,28.0,2.192684516467999,6.0,0.0
791.0,Canyon,TX,ERCO,29.0,2.0511408953596453,6.0,0.0
791.0,Canyon,TX,ERCO,30.0,1.854966402946313,6.0,0.0
791.0,Canyon,TX,ERCO,31.0,1.4282989735266456,6.0,0.0
791.0,Canyon,TX,ERCO,32.0,1.0488305489848215,6.0,0.0
791.0,Canyon,TX,ERCO,33.0,0.9219813541176376,6.0,0.0
791.0,Canyon,TX,ERCO,34.0,0.8540828224252446,6.0,0.0
791.0,Canyon,TX,ERCO,35.0,0.8454858507122541,6.0,0.0
791.0,Canyon,TX,ERCO,36.0,1.0100401802580898,6.0,0.0
791.0,Canyon,TX,ERCO,37.0,1.0057286180417555,6.0,0.0
791.0,Canyon,TX,ERCO,38.0,1.0563327430018892,6.0,0.0
791.0,Canyon,TX,ERCO,39.0,1.055878894347538,6.0,0.0
791.0,Canyon,TX,ERCO,40.0,0.9341335916709584,6.0,0.0
791.0,Canyon,TX,ERCO,41.0,0.8433553080842571,6.0,0.0
791.0,Canyon,TX,ERCO,42.0,0.8661780677102484,6.0,0.0
791.0,Canyon,TX,ERCO,43.0,0.8705252600199612,6.0,0.0
791.0,Canyon,TX,ERCO,44.0,1.1596579895027364,6.0,0.0
791.0,Canyon,TX,ERCO,45.0,0.9147725567298084,6.0,0.0
791.0,Canyon,TX,ERCO,46.0,0.8808537913434895,6.0,0.0
791.0,Canyon,TX,ERCO,47.0,0.8940903827137603,6.0,0.0
791.0,Canyon,TX,ERCO,48.0,0.8754764260993171,6.0,0.0
791.0,Canyon,TX,ERCO,49.0,0.7190574836447989,6.0,0.0
791.0,Canyon,TX,ERCO,50.0,0.7212715403211093,6.0,0.0
791.0,Canyon,TX,ERCO,51.0,0.7006637820262205,6.0,0.0
791.0,Canyon,TX,ERCO,52.0,0.6794258691388433,6.0,0.0
794.0,Lewisville,TX,ERCO,1.0,1.1965602324352882,2.8,0.0
794.0,Lewisville,TX,ERCO,2.0,1.5864281337257569,2.8,0.0
794.0,Lewisville,TX,ERCO,3.0,0.9962987246245566,2.8,0.0
794.0,Lewisville,TX,ERCO,4.0,0.6370301260282244,2.8,0.0
794.0,Lewisville,TX,ERCO,5.0,0.566696370348996,2.8,0.0
794.0,Lewisville,TX,ERCO,6.0,0.9751201562253576,2.8,0.0
794.0,Lewisville,TX,ERCO,7.0,1.68637225341627,2.8,0.0
794.0,Lewisville,TX,ERCO,8.0,2.0336566665970888,2.8,0.0
794.0,Lewisville,TX,ERCO,9.0,2.076951161840832,2.8,0.0
794.0,Lewisville,TX,ERCO,10.0,0.31327271629960496,2.8,0.0
794.0,Lewisville,TX,ERCO,11.0,0.5149426256314924,2.8,0.0
794.0,Lewisville,TX,ERCO,12.0,1.032373821572728,2.8,0.0
794.0,Lewisville,TX,ERCO,13.0,0.6152511519626828,2.8,0.0
794.0,Lewisville,TX,ERCO,14.0,0.2986415637888572,2.8,0.0
794.0,Lewisville,TX,ERCO,15.0,0.9843395849925248,2.8,0.0
794.0,Lewisville,TX,ERCO,16.0,1.1921292324355235,2.8,0.0
794.0,Lewisville,TX,ERCO,17.0,1.8021919729559257,2.8,0.0
794.0,Lewisville,TX,ERCO,18.0,1.484513291563779,2.8,0.0
794.0,Lewisville,TX,ERCO,19.0,1.31382276220243,2.8,0.0
794.0,Lewisville,TX,ERCO,20.0,1.3965449361188793,2.8,0.0
794.0,Lewisville,TX,ERCO,21.0,1.7031035806327797,2.8,0.0
794.0,Lewisville,TX,ERCO,22.0,1.0055218860097783,2.8,0.0
794.0,Lewisville,TX,ERCO,23.0,0.8526480495971255,2.8,0.0
794.0,Lewisville,TX,ERCO,24.0,0.8663195843314458,2.8,0.0
794.0,Lewisville,TX,ERCO,25.0,0.8603952526132403,2.8,0.0
794.0,Lewisville,TX,ERCO,26.0,0.7792774798562716,2.8,0.0
794.0,Lewisville,TX,ERCO,27.0,2.604848086953532,2.8,0.0
794.0,Lewisville,TX,ERCO,28.0,1.8256660991418177,2.8,0.0
794.0,Lewisville,TX,ERCO,29.0,0.958793874444409,2.8,0.0
794.0,Lewisville,TX,ERCO,30.0,0.3414232704888594,2.8,0.0
794.0,Lewisville,TX,ERCO,31.0,0.3671231130024457,2.8,0.0
794.0,Lewisville,TX,ERCO,32.0,0.6197569353142256,2.8,0.0
794.0,Lewisville,TX,ERCO,33.0,0.5332477884001352,2.8,0.0
794.0,Lewisville,TX,ERCO,34.0,0.58393674167011,2.8,0.0
794.0,Lewisville,TX,ERCO,35.0,0.5690679820442508,2.8,0.0
794.0,Lewisville,TX,ERCO,36.0,0.8186048722374312,2.8,0.0
794.0,Lewisville,TX,ERCO,37.0,0.6037528385519503,2.8,0.0
794.0,Lewisville,TX,ERCO,38.0,0.5643040411928352,2.8,0.0
794.0,Lewisville,TX,ERCO,39.0,0.5791185037203999,2.8,0.0
794.0,Lewisville,TX,ERCO,40.0,0.3505537089760465,2.8,0.0
794.0,Lewisville,TX,ERCO,41.0,0.2690120794057781,2.8,0.0
794.0,Lewisville,TX,ERCO,42.0,0.4682156488638102,2.8,0.0
794.0,Lewisville,TX,ERCO,43.0,0.6660895324180758,2.8,0.0
794.0,Lewisville,TX,ERCO,44.0,1.176940824842878,2.8,0.0
794.0,Lewisville,TX,ERCO,45.0,0.703480939098094,2.8,0.0
794.0,Lewisville,TX,ERCO,46.0,0.6585076708507671,2.8,0.0
794.0,Lewisville,TX,ERCO,47.0,0.3507089725708973,2.8,0.0
794.0,Lewisville,TX,ERCO,48.0,0.4435437006043701,2.8,0.0
794.0,Lewisville,TX,ERCO,49.0,0.5540239356113142,2.8,0.0
794.0,Lewisville,TX,ERCO,50.0,0.3749008594964906,2.8,0.0
794.0,Lewisville,TX,ERCO,51.0,0.4262245492371706,2.8,0.0
794.0,Lewisville,TX,ERCO,52.0,0.3992371256251839,2.8,0.0
3437.0,Eagle Pass,TX,ERCO,1.0,3.666041312959819,9.6,0.0
3437.0,Eagle Pass,TX,ERCO,2.0,5.328068154256608,9.6,0.0
3437.0,Eagle Pass,TX,ERCO,3.0,7.29408400032339,9.6,0.0
3437.0,Eagle Pass,TX,ERCO,4.0,3.4942214406985204,9.6,0.0
3437.0,Eagle Pass,TX,ERCO,5.0,9.6,9.6,0.0
3437.0,Eagle Pass,TX,ERCO,6.0,6.605881192026841,9.6,0.0
3437.0,Eagle Pass,TX,ERCO,7.0,5.251159463193211,9.6,0.0
3437.0,Eagle Pass,TX,ERCO,8.0,3.6771018354055647,9.6,0.0
3437.0,Eagle Pass,TX,ERCO,9.0,3.101875422724088,9.6,0.0
3437.0,Eagle Pass,TX,ERCO,10.0,1.7450947800777157,9.6,0.0
3437.0,Eagle Pass,TX,ERCO,11.0,1.783703071672355,9.6,0.0
3437.0,Eagle Pass,TX,ERCO,12.0,1.111918797925624,9.6,0.0
