UnitID,AliasID,CommercialDT_grp,ID_SK,NERCID_AliasID,RatingMW_grp,RegionCode,StateName,UnitRetireDT_grp,UnitTimeZoneCode,UnitTypeCode,UnitTypeCodeDesc,RatingMW_BrochureGroup
5258,0xFA69FA460CBE2135A6076B977D762B0F,1,13796,0xCFE4E8824ECD542FEF60E5EC8BF0EF8D,3,MRO,North Dakota,,CPT,100,Fossil-Steam,200-299
5336,0xEEB84E4D17035EBDF0E3983487815433,4,13806,0xFE5E1667B4414DFF28B45423F10E8723,1,WECC,Nevada,Retired,PPT,300,Gas Turbine/Jet Engine (Simple Cycle Operation),50+
5337,0xCDDEDF2190EFB4B2F1B6163F5219DC15,4,13807,0xFE5E1667B4414DFF28B45423F10E8723,1,WECC,Nevada,Retired,PPT,300,Gas Turbine/Jet Engine (Simple Cycle Operation),50+
5774,0x4D9515F8F550893C1E2F235E69355B61,5,13814,0xA146A1B24350D1A3AE06124E3A908BC9,1,WECC,Montana,,MPT,300,Gas Turbine/Jet Engine (Simple Cycle Operation),50+
6374,0x3E5C49CDFE8D1A440292E6A00ECEF033,4,14045,0x3BEFB7FA0B47F076D545DB95652622BE,2,WECC,California,,PST,851,CC GT units ,All
6415,0xD4B103DDB4B2C606612EBF3055F21217,1,14086,0x3BEFB7FA0B47F076D545DB95652622BE,1,WECC,California,,PST,500,Pumped Storage/Hydro,<30
6418,0x5D1E1C5430C28E08484B66375E62C755,1,14089,0x3BEFB7FA0B47F076D545DB95652622BE,1,WECC,California,,PST,500,Pumped Storage/Hydro,<30
6912,0x74F566107D51F32CBCDEB98D7672DD2E,1,14250,0xA146A1B24350D1A3AE06124E3A908BC9,1,WECC,Montana,,PPT,500,Pumped Storage/Hydro,<30
7399,0x3410B575B7B0EE84841745DD51242211,4,14292,0x0D01C82FB9CF2CBF66F3ABD6FB41A551,1,WECC,New Mexico,,MST,852,CC steam units,All
7541,0x549CF462553DFBA50884BD58DAA5A63A,4,14373,0x6C1D4F9C3AC683BCE67482A915BE8A22,2,WECC,Arizona,,MST,851,CC GT units ,All
