UnitID,AliasID,CommercialDT_grp,ID_SK,NERCID_AliasID,RatingMW_grp,RegionCode,StateName,UnitRetireDT_grp,UnitTimeZoneCode,UnitTypeCode,UnitTypeCodeDesc,RatingMW_BrochureGroup
6536,0xED8C1645D1799D50EB290451450CCB73,2,14201,0x3BEFB7FA0B47F076D545DB95652622BE,3,WECC,California,,PST,500,Pumped Storage/Hydro,30+
6910,0x9D9565C5F5898AD855B2E5430D6AB44F,1,14248,0xA146A1B24350D1A3AE06124E3A908BC9,1,WECC,Montana,,PPT,500,Pumped Storage/Hydro,30+
6911,0xCDEC710BF179D1E143FD50BE3F342ABC,1,14249,0xA146A1B24350D1A3AE06124E3A908BC9,1,WECC,Montana,,PPT,500,Pumped Storage/Hydro,<30
7394,0xEABCD5A9CB2BE7E98F19736532C2A5D5,1,14289,0x0D01C82FB9CF2CBF66F3ABD6FB41A551,1,WECC,New Mexico,,MST,100,Fossil-Steam,<100
7403,0xC8416832BABC53094FF515C3FF557DC8,4,14296,0x0D01C82FB9CF2CBF66F3ABD6FB41A551,2,WECC,New Mexico,,MST,851,CC GT units ,All
7443,0x99EB3A590B7D685A007C418647922818,1,14332,0x32A66FCFF6F49CE60CF3823981EFF33C,1,WECC,Washington,,PPT,500,Pumped Storage/Hydro,30+
7536,0x5E1EDE42F4C766DFC60F9300BAECDC5F,1,14368,0x6C1D4F9C3AC683BCE67482A915BE8A22,1,WECC,Arizona,,MST,300,Gas Turbine/Jet Engine (Simple Cycle Operation),50+
7560,0xA963CD7926FB1AD5D5AA5360420FBE3B,3,14390,0x6C1D4F9C3AC683BCE67482A915BE8A22,2,WECC,Arizona,,MST,850,Combined Cycle Block,All
8466,0x203F4D29ABDA83C5E71FCDEACA84AEAB,1,14429,0x6ABA6F31BB456000200DE3714A1017DC,2,RFC,Michigan,,EPT,100,Fossil-Steam,100-199
7172,0x4785204CB91AEA1AAF482664030A624A,1,18153,0x08FC585CDCE69194A64B91544F9EB44A,2,RFC,New Jersey,Retired,EPT,100,Fossil-Steam,100-199
3421,0x224E526668CA72269CB3A8524950449B,1,18158,0x39982493D9FB18123C9681E44EB7937F,3,RFC,New Jersey,Retired,EPT,200,Nuclear,<1000
11151,0xBC40F7DEA1CA21FA0B9B6E9ACF00C156,1,14878,0x726E4AA667137ABA4FF3C5CAAEA7F152,1,WECC,Washington,,PPT,500,Pumped Storage/Hydro,30+
11437,0xCDA3B864D2B1A511601CD36BA359EC2C,3,15023,0x8123E49BCD18370B6B0B388B9F476553,1,MRO,Illinois,,CPT,851,CC GT units ,All
11621,0xC630FC38671D097D433A0EE5BAB0566D,3,15039,0xAF8C005BC2B465DFB6375B7F5B0188A9,1,NPCC,New York,,EPT,850,Combined Cycle Block,All
11664,0xD3573D6701D7549E721DA390C77EF137,2,15050,0xCDB2819786A4F6F33A27E91026F05FD8,1,NPCC,Massachusetts,,EPT,100,Fossil-Steam,<100
11823,0x05BEE82975C25438B21CAAB9096EB89F,5,15066,0x6AF57E578EBB1FC1B029AE601CF247B3,1,MRO,North Dakota,,CPT,300,Gas Turbine/Jet Engine (Simple Cycle Operation),50+
11967,0x3CC09F10633C26E522F59DF70D6C5065,5,15145,0x34126B3881D47B7D123B1AFC7D372ED1,1,RFC,Michigan,,EPT,300,Gas Turbine/Jet Engine (Simple Cycle Operation),50+
11991,0xBAFDD6EC0E64A4825C3569B97FF4AB80,5,15148,0xE8AA9B679FD1112E6A768694FE226B7F,3,RFC,New Jersey,,EPT,851,CC GT units ,All
12156,0xAA7895B519969497C150D72BB8D5A66B,4,15192,0xECA02DC7040102C1BDAD6E3F9AF2FDA7,2,TRE,Texas,,CPT,851,CC GT units ,All
8968,0x6BE54141E868D4D031CCF24E150D980C,1,16190,0xE2FC5DB2615C2E890A30A73161D68502,1,WECC,Oregon,,PPT,500,Pumped Storage/Hydro,30+
8980,0xA483644774D3DD89A42AD42A6355FC21,1,16202,0xE2FC5DB2615C2E890A30A73161D68502,1,WECC,Oregon,,PPT,500,Pumped Storage/Hydro,30+
9019,0x69ED3055E3740F8D435561AD083763B1,1,16241,0xE2FC5DB2615C2E890A30A73161D68502,1,WECC,Oregon,,PPT,500,Pumped Storage/Hydro,30+
9024,0x4DE555B4F8F135529D51D43FAB213392,2,16246,0xE2FC5DB2615C2E890A30A73161D68502,1,WECC,Oregon,,PPT,500,Pumped Storage/Hydro,30+
9031,0x46C941E1AA0926227E91E4BD303E06B4,2,16253,0xE2FC5DB2615C2E890A30A73161D68502,1,WECC,Oregon,,PPT,500,Pumped Storage/Hydro,30+
9038,0xF9EB18C997F5456DA9405E9948B3F0E7,1,16260,0x6DC65E72B8EFE4D47FADD7560B1C873E,1,WECC,Washington,,PPT,500,Pumped Storage/Hydro,30+
9044,0xD6A79C1E5AF1027AFBAFD62D091FCEA0,1,16266,0x6DC65E72B8EFE4D47FADD7560B1C873E,1,WECC,Washington,,PPT,500,Pumped Storage/Hydro,30+
9045,0xC40D99DF2DC71A06D573BE17E3EBD103,1,16267,0x6DC65E72B8EFE4D47FADD7560B1C873E,1,WECC,Washington,,PPT,500,Pumped Storage/Hydro,30+
9053,0xBE5BB57ED66BB7B29374D47425F9EBE8,1,16275,0x6DC65E72B8EFE4D47FADD7560B1C873E,2,WECC,Montana,,PPT,500,Pumped Storage/Hydro,30+
12237,0xE79D883E9F8AF33E4E9BFBACF46EB11B,5,11820,0x6C905343540DF06A7099C189D456787D,1,SERC,North Carolina,,EPT,300,Gas Turbine/Jet Engine (Simple Cycle Operation),<50
4451,0xB5755CCFA7110E163D8CF3F971A18E85,1,11941,0xF074C7196E9E0B1908E2C3D3D5E4FA00,1,WECC,Idaho,,MPT,500,Pumped Storage/Hydro,30+
4570,0x3779A70721489BA9CB53AFFE812A0C54,2,11993,0x6B5B8144B1421FF1D6E585BC6E27D048,1,SERC,Virginia,,EPT,100,Fossil-Steam,<100
9828,0x6B3B48C3722D43FEC7D34B7351B92FEE,4,12040,0x9F48E29822D70E489796545F967B0953,1,TRE,Texas,,CPT,851,CC GT units ,All
69,0x743B4788231C2BD8268E07E972E9A9A4,1,12056,0x4DF3DE135A028EBF9485D8BAE654FCE0,2,SERC,Alabama,,CPT,100,Fossil-Steam,100-199
75,0xDF32EA46DBC188BB5AA15A45C4E2077E,1,12058,0x4DF3DE135A028EBF9485D8BAE654FCE0,1,SERC,Alabama,,CPT,100,Fossil-Steam,<100
8602,0x4457D20AB8AAF1E7C4601C7B8BC46FAA,4,12083,0x725A0F13A535C1CA08B8EEBA35E2B4EA,1,WECC,Washington,Retired,PPT,852,CC steam units,All
4762,0xA413C6B262F1367DA47A3FBBC80A8E1C,1,12190,0xCF0E398F6F1BAC73B41A0CB6B3967BE5,3,SERC,Kentucky,,EST,100,Fossil-Steam,400-599
4765,0x0F6B244B6A5F740B91DDE44E63438DA2,2,12193,0xCF0E398F6F1BAC73B41A0CB6B3967BE5,3,SERC,Kentucky,,EST,100,Fossil-Steam,400-599
4794,0xDDEF50DAA92644E183B00712D052EC22,1,12202,0xCF0E398F6F1BAC73B41A0CB6B3967BE5,3,SERC,Kentucky,,EST,100,Fossil-Steam,300-399
10057,0x55CA14053567A17C7CD1B1FBC9445969,5,12323,0x1F06C369D2BEE0565843C8847AC80C14,2,WECC,Texas,,MST,852,CC steam units,All
11667,0xFAE2B612CF0F4E0C33118697E695188A,1,12476,0xF97C22645CBF0B981BB097D4A5F230F8,3,RFC,Ohio,,EPT,100,Fossil-Steam,600-799
260,0x760D6038814C85836D3B4409BDA32788,2,12500,0x0C4CBDEFD4B1D0EFCF8B0B9495621A14,1,MRO,Iowa,Retired,CPT,100,Fossil-Steam,<100
285,0x1EE063A75DCCD640EAF131D01369D404,1,12505,0x0C4CBDEFD4B1D0EFCF8B0B9495621A14,1,MRO,Iowa,Retired,CPT,100,Fossil-Steam,<100
10198,0x93B7A1F914CF432E9EA50E68A3E68E4A,4,12521,0x5D72C850C49607F3C553C06A5CB60213,3,WECC,Arizona,,MST,851,CC GT units ,All
12309,0x0B0EF597C75AE94BC29F71E6E13CE926,4,12562,0x522E5B03D2C6379298631AF2C1EA2043,1,RFC,Virginia,,EPT,300,Gas Turbine/Jet Engine (Simple Cycle Operation),<50
1082,0x07D60D65254DDFC6BCBEDB5D518FB15F,5,12726,0xACA7783C349A082F7B7AE801309E8A87,1,WECC,Colorado,,MPT,852,CC steam units,All
1104,0x8D70103738F2440241F312A6C2678838,4,12748,0xACA7783C349A082F7B7AE801309E8A87,1,WECC,Wyoming,,MPT,100,Fossil-Steam,<100
1105,0x63E87BD032619929666C004AFD9107CE,4,12749,0xACA7783C349A082F7B7AE801309E8A87,1,WECC,Wyoming,,MPT,300,Gas Turbine/Jet Engine (Simple Cycle Operation),<50
2354,0x83A7ABC9D3BEECECE88D052E35A6583D,1,12962,0xB513C323EE3E441A21CBF0A75170896B,3,NPCC,Massachusetts,Retired,EPT,100,Fossil-Steam,400-599
4524,0x398CDE75CBB94CCDAEC57E7BC09F43E2,3,13655,0x1521DD6F9E7C099C891D31F85A3D1153,1,RFC,Indiana,,EPT,300,Gas Turbine/Jet Engine (Simple Cycle Operation),50+
4863,0xFE006C40D8267DD71DFAE432B434D657,2,13716,0xC333CE003CAD6A972EF5A1098482453B,3,WECC,Utah,,PPT,100,Fossil-Steam,800+
4881,0xA9606BD23DE40A5C8A2544AF1926591F,1,13734,0xC333CE003CAD6A972EF5A1098482453B,1,WECC,California,,PPT,500,Pumped Storage/Hydro,30+
4893,0xC6E3B2516287777FE9FAFB023D09EF6A,1,13746,0xC333CE003CAD6A972EF5A1098482453B,3,WECC,California,,PPT,500,Pumped Storage/Hydro,30+
4895,0xE85492E6DD0AE60D09FA3FE4156E29E8,1,13748,0xC333CE003CAD6A972EF5A1098482453B,3,WECC,California,,PPT,500,Pumped Storage/Hydro,30+
6387,0x9FAD0BE6047BE41D9430665967936431,1,14058,0x3BEFB7FA0B47F076D545DB95652622BE,1,WECC,California,,PST,500,Pumped Storage/Hydro,30+
6435,0x3FDFD4F5E93E9D2C2BD2929AA53E4E8D,1,14106,0x3BEFB7FA0B47F076D545DB95652622BE,1,WECC,California,,PST,500,Pumped Storage/Hydro,30+
6545,0x9A836980F1CB71C9CB7AC9AFA11EF20C,3,14210,0x3BEFB7FA0B47F076D545DB95652622BE,1,WECC,California,,PST,500,Pumped Storage/Hydro,<30
6764,0x95604869981D48D14E3FD8E51717D78F,2,14212,0xEEDE29A817307879E88A10D46EB9C6B2,1,SERC,Virginia,,EPT,100,Fossil-Steam,<100
7392,0x32F25ADAE672E6AE274309263016CC09,1,14287,0x0D01C82FB9CF2CBF66F3ABD6FB41A551,1,WECC,New Mexico,,MST,100,Fossil-Steam,<100
7401,0x96F8F7007681D7EE4CF5B830D43C609E,4,14294,0x0D01C82FB9CF2CBF66F3ABD6FB41A551,1,WECC,New Mexico,,MST,300,Gas Turbine/Jet Engine (Simple Cycle Operation),<50
