name,typ,node,maxcap,losscap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
IRVING_C,coal,bus_5323,16.5,16.5,9.852684069309,4.95,4,49.5,1155.0,5.445,12,12
DALLAS_NG_4,ngcc,bus_5323,852.21,852.21,8.0890672499594,255.66,3,2556.63,59654.700000000004,852.21,4,4
TEMPLE_NG,ngcc,bus_5011,803.19,803.19,8.037666917992501,240.96,3,2409.57,56223.3,803.19,4,4
RIESEL_C,coal,bus_5011,1008.0,1008.0,11.78004293673,302.4,4,3024.0,70560.0,332.64000000000004,12,12
FRANKLIN_C,coal,bus_5011,1795.4,1795.4,11.564040361017,538.62,4,5386.200000000001,125678.0,592.4820000000001,12,12
BREMOND_C,coal,bus_5011,349.2,349.2,10.173194503755,104.76,4,1047.6,24444.0,115.236,12,12
LEWSIVILLE_NG,ngcc,bus_5465,15.6,15.6,7.1910987953536,4.68,3,46.8,1092.0,15.6,4,4
LAGRANGE_C,coal,bus_6005,1689.9900000000002,1689.9900000000002,10.922815489878,507.0,4,5069.970000000001,118299.30000000002,557.6967000000001,12,12
WINCHESTER_NG,ngcc,bus_6005,242.0,242.0,7.429591222762333,72.6,3,726.0,16940.0,242.0,4,4
SANANTONIO_NG_5,ngcc,bus_6147,3276.4,3276.4,8.943301962535552,982.92,3,9829.2,229348.0,3276.4,4,4
SEGUIN_NG,ngcc,bus_6147,940.2,940.2,7.9315321559222,282.08,3,2820.6000000000004,65814.0,940.2,4,4
ELMENDORF_NG,ngcc,bus_6147,1687.9899999999998,1687.9899999999998,7.851902133457614,506.4,3,5063.969999999999,118159.29999999999,1687.9899999999998,4,4
PASADENA_NG,ngcc,bus_7127,815.0,815.0,7.6948500311336,244.5,3,2445.0,57050.0,815.0,4,4
BAYTOWN_NG,ngcc,bus_7127,914.6,914.6,7.910324984433201,274.36,3,2743.8,64022.0,914.6,4,4
DEERPARK_NG,ngcc,bus_7127,1428.0,1428.0,7.683145218530445,428.4,3,4284.0,99960.0,1428.0,4,4
LAPORTE_NG,ngcc,bus_7127,1459.2,1459.2,7.641699541618349,437.7799999999999,3,4377.6,102144.0,1459.2,4,4
HOUSTON_NG,ngcc,bus_7127,1914.8,1914.8,7.555389851921882,574.4200000000001,3,5744.4,134036.0,1914.8,4,4
MONTBELVIEU_NG,ngcc,bus_7127,40.7,40.7,7.232775961896,12.21,3,122.10000000000001,2849.0,40.7,4,4
FREEPORT_NG,ngcc,bus_7127,1528.74,1528.74,7.498209183267581,458.6300000000001,3,4586.22,107011.8,1528.74,4,4
PASADENA_C,coal,bus_7127,458.2,458.2,10.278561614637,137.46,4,1374.6,32074.0,151.20600000000002,12,12
CHANNELVIEW_NG,ngcc,bus_7127,1561.92,1561.92,7.626072166092964,468.5800000000001,3,4685.76,109334.40000000001,1561.92,4,4
ALVIN_NG,ngcc,bus_7127,1508.9,1508.9,7.613013078299236,452.67,3,4526.700000000001,105623.0,1508.9,4,4
HOUSTON_NG_6,ngcc,bus_7004,4.0,4.0,7.1777101403927,1.2,3,12.0,280.0,4.0,4,4
LAPORTE_NG_7,ngcc,bus_7004,176.4,176.4,7.455433414266,52.92,3,529.2,12348.0,176.4,4,4
HOUSTON_NG_8,ngcc,bus_7248,8.0,8.0,7.1801043067495005,2.4000000000000004,3,24.0,560.0,8.0,4,4
HOUSTON_NG_9,ngcc,bus_7170,1189.91,1189.91,7.5969552371757665,356.98,3,3569.7300000000005,83293.70000000001,1189.91,4,4
WILLIS_NG,ngcc,bus_7170,542.8,542.8,8.9302397677742,162.84,3,1628.3999999999999,37996.0,542.8,4,4
SHIRO_NG,ngcc,bus_7170,939.72,939.72,7.931181635446901,281.92,3,2819.16,65780.40000000001,939.72,4,4
BRYAN_NG,ngcc,bus_7170,225.2,225.2,7.4105869179925,67.56,3,675.5999999999999,15764.0,225.2,4,4
BAYTOWN_NG_10,ngcc,bus_7208,2069.5,2069.5,8.287805182523902,620.8499999999999,3,6208.5,144865.0,2069.5,4,4
PASADENA_NG_11,ngcc,bus_7208,757.8,757.8,7.659416371247741,227.33,3,2273.3999999999996,53046.0,757.8,4,4
NEWGULF_NG,ngcc,bus_7069,101.9,101.9,7.4978843066018,30.57,3,305.70000000000005,7133.0,101.9,4,4
THOMPSONS_NG,ngcc,bus_7353,4786.719999999999,4786.719999999999,8.3641115549846,1435.76,3,14360.159999999998,335070.39999999997,4786.719999999999,4,4
FAIRFIELD_NG,ngcc,bus_8060,1036.02,1036.02,7.7260988682499,310.8,3,3108.06,72521.4,1036.02,4,4
FAIRFIELD_C,coal,bus_8060,1186.8,1186.8,10.979252898444,356.04,4,3560.3999999999996,83076.0,391.644,12,12
JEWETT_C,coal,bus_8060,1849.8,1849.8,11.616723915231,554.94,4,5549.4,129486.0,610.434,12,12
JACKSONVILLE_C,coal,bus_8060,713.4,713.4,10.294067547381,214.02,4,2140.2,49938.0,235.422,12,12
TRINIDAD_C,coal,bus_8060,243.3,243.3,10.071850220349,72.99000000000001,4,729.9000000000001,17031.0,80.289,12,12
bus_1001_WIND,wind,bus_1001,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_2008_WIND,wind,bus_2008,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_3006_WIND,wind,bus_3006,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4002_WIND,wind,bus_4002,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4017_WIND,wind,bus_4017,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4040_WIND,wind,bus_4040,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4071_WIND,wind,bus_4071,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_5005_WIND,wind,bus_5005,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_5007_WIND,wind,bus_5007,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_5262_WIND,wind,bus_5262,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_1001_SOLAR,solar,bus_1001,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4002_SOLAR,solar,bus_4002,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_6018_SOLAR,solar,bus_6018,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_7098_SOLAR,solar,bus_7098,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_7127_SOLAR,solar,bus_7127,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_7170_SOLAR,solar,bus_7170,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_8060_SOLAR,solar,bus_8060,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4002_HYDRO,hydro,bus_4002,75.6,75.6,0.0,0.0,1,1.0,1.0,75.6,0,0
bus_4040_HYDRO,hydro,bus_4040,31.5,31.5,0.0,0.0,1,1.0,1.0,31.5,0,0
bus_5084_HYDRO,hydro,bus_5084,101.6,101.6,0.0,0.0,1,1.0,1.0,101.6,0,0
bus_5323_HYDRO,hydro,bus_5323,1.3,1.3,0.0,0.0,1,1.0,1.0,1.3,0,0
bus_5385_HYDRO,hydro,bus_5385,41.8,41.8,0.0,0.0,1,1.0,1.0,41.8,0,0
bus_5465_HYDRO,hydro,bus_5465,2.8,2.8,0.0,0.0,1,1.0,1.0,2.8,0,0
bus_6018_HYDRO,hydro,bus_6018,299.1,299.1,0.0,0.0,1,1.0,1.0,299.1,0,0
bus_6147_HYDRO,hydro,bus_6147,10.0,10.0,0.0,0.0,1,1.0,1.0,10.0,0,0
bus_7098_HYDRO,hydro,bus_7098,2.4,2.4,0.0,0.0,1,1.0,1.0,2.4,0,0
