Bus,Time,Value
bus_10013,1,30.944274226525735
bus_10013,2,30.406090689485005
bus_10013,3,30.406090689646327
bus_10013,4,30.944274226530183
bus_10013,5,30.94622126827843
bus_10013,6,31.051975046777542
bus_10013,7,31.085325764945296
bus_10013,8,32.46896458865433
bus_10013,9,32.49763431407064
bus_10013,10,32.505530151376064
bus_10013,11,32.589017890299665
bus_10013,12,32.63409499084631
bus_10013,13,32.692829663566606
bus_10013,14,32.69282966356471
bus_10013,15,32.69282966356633
bus_10013,16,32.69282966357672
bus_10013,17,32.700814115168164
bus_10013,18,32.86236079063998
bus_10013,19,32.90027904186509
bus_10013,20,32.90027904186549
bus_10013,21,32.9002790418654
bus_10013,22,32.862360790635734
bus_10013,23,32.761199068617955
bus_10013,24,32.700814115168164
bus_10043,1,30.539636302914182
bus_10043,2,30.265332312086954
bus_10043,3,30.26533231208774
bus_10043,4,30.539636302914584
bus_10043,5,30.541557876258246
bus_10043,6,30.6459283350977
bus_10043,7,32.305124498005206
bus_10043,8,32.468964588654856
bus_10043,9,32.497634314071476
bus_10043,10,32.505530151375176
bus_10043,11,32.58901789030348
bus_10043,12,32.63409499084664
bus_10043,13,32.69282966356559
bus_10043,14,32.69282966356569
bus_10043,15,32.69282966356574
bus_10043,16,32.692829663565085
bus_10043,17,32.70081411516795
bus_10043,18,32.8623607906395
bus_10043,19,32.90027904186584
bus_10043,20,32.900279041865744
bus_10043,21,32.9002790418656
bus_10043,22,32.862360790638
bus_10043,23,32.761199068612925
bus_10043,24,32.70081411516565
bus_10333,1,31.52448765279019
bus_10333,2,30.504696867248608
bus_10333,3,30.50469686732875
bus_10333,4,31.524487652792075
bus_10333,5,31.52647121390231
bus_10333,6,31.634208545062137
bus_10333,7,31.76678332075925
bus_10333,8,32.46896458865462
bus_10333,9,32.49763431407121
bus_10333,10,32.50553015137553
bus_10333,11,32.589017890301555
bus_10333,12,32.63409499084652
bus_10333,13,32.692829663566044
bus_10333,14,32.69282966356536
bus_10333,15,32.69282966356608
bus_10333,16,32.69282966357043
bus_10333,17,32.70081411516814
bus_10333,18,32.86236079063959
bus_10333,19,32.90027904186561
bus_10333,20,32.90027904186544
bus_10333,21,32.90027904186551
bus_10333,22,32.86236079063741
bus_10333,23,32.761199068615014
bus_10333,24,32.70081411516675
bus_10483,1,31.398414474555096
bus_10483,2,30.64481520376735
bus_10483,3,30.64481520386272
bus_10483,4,31.398414474557512
bus_10483,5,31.40039010046365
bus_10483,6,31.50769643024209
bus_10483,7,31.608637083146636
bus_10483,8,32.46896458865457
bus_10483,9,32.497634314071036
bus_10483,10,32.505530151375666
bus_10483,11,32.58901789030117
bus_10483,12,32.63409499084647
bus_10483,13,32.69282966356619
bus_10483,14,32.692829663565206
bus_10483,15,32.69282966356613
bus_10483,16,32.69282966357173
bus_10483,17,32.700814115168114
bus_10483,18,32.86236079063967
