EIA_ID,plant,state,bal_auth,Latitude,Longitude,bus
6415,Broken Bow,OK,SWPP,34.14552601,-94.68422523,2023
6416,Denison,TX,ERCO,33.83333,-96.56667,2103
6419,Eufaula Dam,OK,SPA,35.30669841,-95.35837629999999,2023
2985,Robert S Kerr,OK,SPA,35.34734195,-94.77817356,2023
3004,Tenkiller Ferry,OK,SPA,35.59695641,-95.0494247,2023
2987,Webbers Falls,OK,SPA,35.55415448,-95.16907943,2023
6414,Whitney,TX,ERCO,31.86554668,-97.37220423,5089
791,Canyon,TX,ERCO,29.8701,-98.1948,6301
794,Lewisville,TX,ERCO,33.0682,-96.964,5342
3437,Eagle Pass,TX,ERCO,28.8292,-100.5518,3120
7394,Gonzales Hydro Plant,TX,ERCO,29.4968,-97.4549,6266
3581,Abbott TP 3,TX,ERCO,29.59438362,-98.04083462,6164
3582,Dunlap TP 1,TX,ERCO,29.65410642,-98.06638142,6069
3583,H 4,TX,ERCO,29.49587375,-97.62458576,6167
3584,H 5,TX,ERCO,29.46832655,-97.49215416,6266
3585,Nolte,TX,ERCO,29.53769362,-97.93182856,6167
3586,TP 4,TX,ERCO,29.54844635,-97.99964622,6167
3594,Austin,TX,ERCO,30.29422829,-97.78639669,6041
3595,Buchanan,TX,ERCO,30.75126469,-98.41833309,3105
3597,Granite Shoals,TX,ERCO,30.55544755,-98.33811776,6213
3598,Inks,TX,ERCO,30.73082095,-98.38431476,3105
3599,Marble Falls,TX,ERCO,30.55652402,-98.25670556,6082
3600,Marshall Ford,TX,ERCO,30.39226502,-97.90725489,6349
3616,Seguin,TX,,29.55124875,-97.97079136,6167
6128,Amistad Dam & Power,TX,ERCO,29.44995555,-101.0571498,3120
6410,Falcon Dam & Power,TX,ERCO,26.55850389,-99.16186042,4045
61355,Arlington Outlet Hydroelectric Generator,TX,,32.639069,-97.242906,5069
