Line,Time,Value
line_4003_4040,1,-138.20649662714524
line_4003_4040,2,-138.71500296902187
line_4003_4040,3,-138.989514523941
line_4003_4040,4,-139.75071994519718
line_4003_4040,5,-139.54604604713518
line_4003_4040,6,-141.92227586918438
line_4003_4040,7,-140.66155846472634
line_4003_4040,8,-137.03491493505945
line_4003_4040,9,-132.78983525217697
line_4003_4040,10,-128.91017161114706
line_4003_4040,11,-94.25578997725756
line_4003_4040,12,-88.71100923273916
line_4003_4040,13,-85.44903196933747
line_4003_4040,14,-81.67188678302821
line_4003_4040,15,-78.84945566258104
line_4003_4040,16,-108.01645913528677
line_4003_4040,17,-106.91606968055925
line_4003_4040,18,-109.41981882741482
line_4003_4040,19,-115.29595933105483
line_4003_4040,20,-114.63272571562301
line_4003_4040,21,-112.89986485580111
line_4003_4040,22,-108.79692671018807
line_4003_4040,23,-101.7481007777445
line_4003_4040,24,-97.44703443111472
line_4103_4003,1,72.88792674573301
line_4103_4003,2,73.1731430155312
line_4103_4003,3,73.26811120909497
line_4103_4003,4,73.54127268716297
line_4103_4003,5,72.06340233239598
line_4103_4003,6,72.03423224251446
line_4103_4003,7,67.81969527846559
line_4103_4003,8,62.65922698670465
line_4103_4003,9,56.894546521923985
line_4103_4003,10,50.70522740155593
line_4103_4003,11,37.57917790747581
line_4103_4003,12,38.608481097471355
line_4103_4003,13,38.11860773040428
line_4103_4003,14,37.448281646398584
line_4103_4003,15,36.92292507731372
line_4103_4003,16,45.17367120193631
line_4103_4003,17,47.4955229059714
line_4103_4003,18,52.80586335506632
line_4103_4003,19,55.43412264159544
line_4103_4003,20,55.18017465457453
line_4103_4003,21,54.42295906496334
line_4103_4003,22,52.59766576810078
line_4103_4003,23,49.29103707899754
line_4103_4003,24,45.58947749276159
line_4003_4017,1,-18.850704679369727
line_4003_4017,2,-19.049515377903287
line_4003_4017,3,-18.973387247741336
line_4003_4017,4,-18.792849177087444
line_4003_4017,5,-18.559259306817665
line_4003_4017,6,-18.33381340771913
line_4003_4017,7,-17.738715879423083
line_4003_4017,8,-17.20883479700264
line_4003_4017,9,-16.646460435964322
line_4003_4017,10,-15.988302307719248
line_4003_4017,11,-32.863208904196476
line_4003_4017,12,-37.97768155750932
line_4003_4017,13,-39.2999708121373
line_4003_4017,14,-40.74012539036215
line_4003_4017,15,-41.78084111506628
line_4003_4017,16,-26.50643220016163
line_4003_4017,17,-30.651252440764893
line_4003_4017,18,-36.906182667852335
line_4003_4017,19,-36.85163214980272
line_4003_4017,20,-36.86174040736775
line_4003_4017,21,-36.865271131417025
line_4003_4017,22,-36.88960426854323
line_4003_4017,23,-36.64872130114227
line_4003_4017,24,-33.929272070854935
line_4003_4085,1,-5.583800172211239
line_4003_4085,2,-5.591446963151358
line_4003_4085,3,-5.587753497860869
line_4003_4085,4,-5.578807815229926
line_4003_4085,5,-5.680846018191032
line_4003_4085,6,-5.751602580048629
line_4003_4085,7,-6.020428058718204
line_4003_4085,8,-6.289389153025367
line_4003_4085,9,-6.5752962022484684
line_4003_4085,10,-6.892359759553041
line_4003_4085,11,-12.723252474207392
