Node,Time,Value
bus_10013,1,0.0
bus_10013,2,0.0
bus_10013,3,0.0
bus_10013,4,0.0
bus_10013,5,0.0
bus_10013,6,0.0
bus_10013,7,0.0
bus_10013,8,0.0
bus_10013,9,0.0
bus_10013,10,0.0
bus_10013,11,0.0
bus_10013,12,0.0
bus_10013,13,0.0
bus_10013,14,0.0
bus_10013,15,0.0
bus_10013,16,0.0
bus_10013,17,0.0
bus_10013,18,0.0
bus_10013,19,0.0
bus_10013,20,0.0
bus_10013,21,0.0
bus_10013,22,0.0
bus_10013,23,0.0
bus_10013,24,0.0
bus_10043,1,0.7262593438580784
bus_10043,2,0.7377105120252961
bus_10043,3,0.7356848161723629
bus_10043,4,0.7285280851773547
bus_10043,5,0.7168404441286124
bus_10043,6,0.7083005300250539
bus_10043,7,0.7445785118567629
bus_10043,8,0.7257795470754541
bus_10043,9,0.7049113077185812
bus_10043,10,0.6561857523180641
bus_10043,11,0.6027704799889725
bus_10043,12,0.5694109635080461
bus_10043,13,0.5410017025710507
bus_10043,14,0.5207070388270687
bus_10043,15,0.5123526069994936
bus_10043,16,0.5139126649527758
bus_10043,17,0.10554905418418724
bus_10043,18,-0.44646209521615704
bus_10043,19,-0.6991342810405359
bus_10043,20,-0.7668588095088833
bus_10043,21,-0.6755887535278111
bus_10043,22,-0.46371120715691805
bus_10043,23,-0.43897839704952474
bus_10043,24,-0.3982279680113889
bus_10333,1,0.31557887178925786
bus_10333,2,0.3412526089044087
bus_10333,3,0.33264959498892127
bus_10333,4,0.3180659973178767
bus_10333,5,0.31643243200538607
bus_10333,6,0.31952382326522977
bus_10333,7,0.2917186215487545
bus_10333,8,0.2673647489129584
bus_10333,9,0.259822344682116
bus_10333,10,0.29808665383374616
bus_10333,11,0.31215632742740984
bus_10333,12,0.29025329153697865
bus_10333,13,0.2701019069576334
bus_10333,14,0.2526840167021879
bus_10333,15,0.24060423638798809
bus_10333,16,0.22366642046660132
bus_10333,17,-0.04046860815986803
bus_10333,18,-0.334196082129022
bus_10333,19,-0.21793998308438411
bus_10333,20,-0.19788779777609367
bus_10333,21,-0.24322798987665906
bus_10333,22,-0.3446270781275753
bus_10333,23,-0.39744753181305514
bus_10333,24,-0.343626619376157
bus_10483,1,0.131851228086196
bus_10483,2,0.1505265380299984
bus_10483,3,0.14408571671227927
bus_10483,4,0.1318220430660038
bus_10483,5,0.1257036884426815
bus_10483,6,0.12236813985125856
bus_10483,7,0.0950009852103678
bus_10483,8,0.07127615317561588
bus_10483,9,0.05717756310594346
bus_10483,10,0.0653942658331845
bus_10483,11,0.059015386800808485
bus_10483,12,0.037103393437437196
bus_10483,13,0.020631413413862487
bus_10483,14,0.00807002188576898
bus_10483,15,-0.00013031153957804604
bus_10483,16,-0.01242047998862611
bus_10483,17,-0.2217050754787821
bus_10483,18,-0.4630051146830391
bus_10483,19,0.5842537182976248
bus_10483,20,0.8199151740605282
bus_10483,21,0.4127083041799451
bus_10483,22,-0.47352863503334985
