SNYDER,MONAHANS,MONAHANS_2,ODESSA,ODESSA_3,ODESSA_4,SILVER,PALOPINTO,SAVOY,PARIS,GREENVILLE,MOUNTPLEASANT,WICHITAFALLS,DENTON,SHERMAN,PARIS_5,SILVER_6,CHRISTINE,FANNIN,SANTAROSA,BISHOP,CORPUSCHRISTI,GREGORY,CORPUSCHRISTI_7,GREGORY_8,MISSION,MISSION_9,CORPUSCHRISTI_10,CORPUSCHRISTI_11,SANTAROSA_12,LAREDO,LAREDO_13,PEARSALL,BROWNSVILLE,ALEDO,DALLAS,DALLAS_14,GRAHAM,ARLINGTON,IRVING,POOLVILLE,GRANBURY,TEMPLE,MCKINNEY,MIDLOTHIAN,MCKINNEY_15,GRANBURY_16,DALLAS_17,RIESEL,BRIDGEPORT,ENNIS,PALOPINTO_18,LEWSIVILLE,BASTROP,SANANTONIO,MARION,LAGRANGE,WINCHESTER,ROCKDALE,SANANTONIO_19,SEGUIN,ELMENDORF,NURSERY,VICTORIA,POINTCOMFORT,CEDARCREEK,NEWBRAUNFELS,PASADENA,DEERPARK,HOUSTON,MONTBELVIEU,CHANNELVIEW,HOUSTON_20,NURSERY_21,VICTORIA_22,BAYTOWN,FREEPORT,ALVIN,HOUSTON_24,LAPORTE,PASADENA_25,HOUSTON_26,HOUSTON_27,WILLIS,SHIRO,HOUSTON_28,BAYTOWN_29,WHARTON,NEWGULF,THOMPSONS,CHANNELVIEW_30,LAPORTE_31,FREEPORT_32,SHIRO_33,FAIRFIELD,TRINIDAD,FAIRFIELD_34,JEWETT,MTENTERPRISE,FRANKLIN,FRANKLIN_35,BREMOND,JACKSONVILLE,BRYAN
3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,1.9624,1.9624,3.25,3.25,3.25,3.25,1.9624,1.9624,1.9624,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,1.9624,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,1.9624,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,1.9624,3.25,3.25,3.25,3.25,3.25,3.25,3.25,1.9624,3.25,1.9624,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,1.9624,1.9624,1.9624,3.25,1.9624,1.9624,1.9624,1.9624,3.25
3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,1.9624,1.9624,3.25,3.25,3.25,3.25,1.9624,1.9624,1.9624,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,1.9624,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,1.9624,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,1.9624,3.25,3.25,3.25,3.25,3.25,3.25,3.25,1.9624,3.25,1.9624,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,1.9624,1.9624,1.9624,3.25,1.9624,1.9624,1.9624,1.9624,3.25
2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,1.9624,1.9624,2.72,2.72,2.72,2.72,1.9624,1.9624,1.9624,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,1.9624,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,1.9624,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,1.9624,2.72,2.72,2.72,2.72,2.72,2.72,2.72,1.9624,2.72,1.9624,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,1.9624,1.9624,1.9624,2.72,1.9624,1.9624,1.9624,1.9624,2.72
2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,1.9624,1.9624,2.8,2.8,2.8,2.8,1.9624,1.9624,1.9624,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,1.9624,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,1.9624,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,1.9624,2.8,2.8,2.8,2.8,2.8,2.8,2.8,1.9624,2.8,1.9624,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,1.9624,1.9624,1.9624,2.8,1.9624,1.9624,1.9624,1.9624,2.8
2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,1.9624,1.9624,2.78,2.78,2.78,2.78,1.9624,1.9624,1.9624,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,1.9624,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,1.9624,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,1.9624,2.78,2.78,2.78,2.78,2.78,2.78,2.78,1.9624,2.78,1.9624,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,1.9624,1.9624,1.9624,2.78,1.9624,1.9624,1.9624,1.9624,2.78
2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,1.9624,1.9624,2.76,2.76,2.76,2.76,1.9624,1.9624,1.9624,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,1.9624,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,1.9624,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,1.9624,2.76,2.76,2.76,2.76,2.76,2.76,2.76,1.9624,2.76,1.9624,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,1.9624,1.9624,1.9624,2.76,1.9624,1.9624,1.9624,1.9624,2.76
2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,1.9624,1.9624,2.74,2.74,2.74,2.74,1.9624,1.9624,1.9624,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,1.9624,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,1.9624,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,1.9624,2.74,2.74,2.74,2.74,2.74,2.74,2.74,1.9624,2.74,1.9624,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,1.9624,1.9624,1.9624,2.74,1.9624,1.9624,1.9624,1.9624,2.74
2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,1.9624,1.9624,2.89,2.89,2.89,2.89,1.9624,1.9624,1.9624,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,1.9624,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,1.9624,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,1.9624,2.89,2.89,2.89,2.89,2.89,2.89,2.89,1.9624,2.89,1.9624,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,1.9624,1.9624,1.9624,2.89,1.9624,1.9624,1.9624,1.9624,2.89
2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,1.9624,1.9624,2.92,2.92,2.92,2.92,1.9624,1.9624,1.9624,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,1.9624,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,1.9624,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,1.9624,2.92,2.92,2.92,2.92,2.92,2.92,2.92,1.9624,2.92,1.9624,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,1.9624,1.9624,1.9624,2.92,1.9624,1.9624,1.9624,1.9624,2.92
2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,1.9624,1.9624,2.95,2.95,2.95,2.95,1.9624,1.9624,1.9624,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,1.9624,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,1.9624,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,1.9624,2.95,2.95,2.95,2.95,2.95,2.95,2.95,1.9624,2.95,1.9624,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,1.9624,1.9624,1.9624,2.95,1.9624,1.9624,1.9624,1.9624,2.95
