name,typ,node,maxcap,losscap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
SNYDER,ngcc,bus_1004,153.89999999999998,153.89999999999998,7.334356359503801,46.17,3,461.69999999999993,10772.999999999998,153.89999999999998,4,4
MONAHANS,ngcc,bus_1048,918.6,918.6,7.7639679290785795,275.58,3,2755.8,64302.0,918.6,4,4
MONAHANS_2,ngcc,bus_1081,178.8,178.8,7.7479666936021,53.64,3,536.4000000000001,12516.0,178.8,4,4
ODESSA,ngcc,bus_1081,286.5,286.5,8.0974673643751,85.95,3,859.5,20055.0,286.5,4,4
ODESSA_3,ngcc,bus_1001,1343.78,1343.78,7.712174456125176,403.13999999999993,3,4031.34,94064.59999999999,1343.78,4,4
ODESSA_4,ngcc,bus_3048,95.5,95.5,7.478472200211501,28.65,3,286.5,6685.0,95.5,4,4
SILVER,ngcc,bus_3048,90.7,90.7,7.313817174794751,27.21,3,272.1,6349.0,90.7,4,4
PALOPINTO,ngcc,bus_3048,481.6,481.6,7.55750989407795,144.48000000000002,3,1444.8000000000002,33712.0,481.6,4,4
SAVOY,ngcc,bus_2004,1175.4,1175.4,8.4414615390645,352.62,3,3526.2000000000003,82278.0,1175.4,4,4
PARIS,ngcc,bus_8129,1173.6,1173.6,7.7101011970065585,352.04999999999995,3,3520.7999999999997,82152.0,1173.6,4,4
GREENVILLE,ngcc,bus_8129,84.7,84.7,7.4409575530843,25.41,3,254.10000000000002,5929.0,84.7,4,4
MOUNTPLEASANT,coal,bus_8129,1980.0,1980.0,11.107824845595,594.0,4,5940.0,138600.0,653.4,12,12
WICHITAFALLS,coal,bus_2057,806.0,806.0,8.56525665381706,241.8,4,2418.0,56420.0,265.98,12,12
DENTON,ngcc,bus_5175,128.1,128.1,7.373180384160401,38.43,3,384.29999999999995,8967.0,128.1,4,4
SHERMAN,ngcc,bus_2103,803.19,803.19,8.0375499534632,240.96,3,2409.57,56223.3,803.19,4,4
PARIS_5,ngcc,bus_2115,184.72,184.72,7.7650410692679,55.41,3,554.16,12930.4,184.72,4,4
SILVER_6,ngcc,bus_3045,447.0,447.0,8.6189890424594,134.1,3,1341.0,31290.0,447.0,4,4
BASTROP,ngcc,bus_6349,1233.99,1233.99,7.967879602427781,370.2,3,3701.9700000000003,86379.3,1233.99,4,4
CHRISTINE,coal,bus_4026,410.0,410.0,10.625980392213,123.0,4,1230.0,28700.0,135.3,12,12
FANNIN,coal,bus_4030,622.4,622.4,11.032689076053002,186.72,4,1867.1999999999998,43568.0,205.392,12,12
SANTAROSA,coal,bus_4194,200.5,200.5,9.881302521330332,60.14999999999999,4,601.5,14035.0,66.165,12,12
BISHOP,ngcc,bus_4020,44.2,44.2,7.3113050100105,13.26,3,132.60000000000002,3094.0,44.2,4,4
CORPUSCHRISTI,ngcc,bus_4020,47.0,47.0,7.319983116828701,14.1,3,141.0,3290.0,47.0,4,4
GREGORY,ngcc,bus_4181,776.6600000000001,776.6600000000001,7.673182064329441,233.0,3,2329.9800000000005,54366.200000000004,776.6600000000001,4,4
CORPUSCHRISTI_7,ngcc,bus_4181,602.3100000000001,602.3100000000001,7.6562597560339505,180.69,3,1806.9300000000003,42161.700000000004,602.3100000000001,4,4
GREGORY_8,ngcc,bus_4061,172.33,172.33,7.727854137284101,51.7,3,516.99,12063.1,172.33,4,4
MISSION,ngcc,bus_4075,176.33,176.33,7.740032893119101,52.9,3,528.99,12343.1,176.33,4,4
MISSION_9,ngcc,bus_4040,352.66,352.66,7.740032893119101,105.8,3,1057.98,24686.2,352.66,4,4
CORPUSCHRISTI_10,ngcc,bus_4085,1082.2,1082.2,8.045689801068374,324.66,3,3246.6000000000004,75754.0,1082.2,4,4
LAREDO,ngcc,bus_4115,131.8,131.8,7.594923470802301,39.54,3,395.40000000000003,9226.0,131.8,4,4
LAREDO_11,ngcc,bus_4190,131.8,131.8,7.594923470802301,39.54,3,395.40000000000003,9226.0,131.8,4,4
PEARSALL,ngcc,bus_4137,267.6,267.6,7.3116146007129155,80.28,3,802.8000000000001,18732.0,267.6,4,4
BROWNSVILLE,ngcc,bus_4193,1522.71,1522.71,7.661466620595182,456.81,3,4568.13,106589.7,1522.71,4,4
ALEDO,ngcc,bus_5022,4.8,4.8,7.1798591905837,1.44,3,14.399999999999999,336.0,4.8,4,4
DALLAS,ngcc,bus_5385,1552.95,1552.95,7.887802989672915,465.88000000000005,3,4658.85,108706.5,1552.95,4,4
DALLAS_12,ngcc,bus_5037,308.47,308.47,8.1694378768316,92.54,3,925.4100000000001,21592.9,308.47,4,4
GRAHAM,ngcc,bus_5057,634.7,634.7,8.2004152572867,190.4,3,1904.1000000000001,44429.0,634.7,4,4
ARLINGTON,ngcc,bus_5067,1327.21,1327.21,8.029573272622722,398.16,3,3981.63,92904.7,1327.21,4,4
IRVING,coal,bus_5422,16.5,16.5,9.852684069309,4.95,4,49.5,1155.0,5.445,12,12
LEWSIVILLE,ngcc,bus_5422,15.6,15.6,7.1910987953536,4.68,3,46.8,1092.0,15.6,4,4
POOLVILLE,ngcc,bus_5206,746.01,746.01,7.975623171294901,223.8,3,2238.0299999999997,52220.7,746.01,4,4
GRANBURY,ngcc,bus_5262,883.1999999999999,883.1999999999999,7.6463646915206,264.96,3,2649.6,61823.99999999999,883.1999999999999,4,4
TEMPLE,ngcc,bus_5281,803.19,803.19,8.037666917992501,240.96,3,2409.57,56223.3,803.19,4,4
MCKINNEY,ngcc,bus_5444,894.65,894.65,7.651971931402883,268.4,3,2683.95,62625.5,894.65,4,4
MIDLOTHIAN,ngcc,bus_5444,2016.6,2016.6,7.985410251848401,604.98,3,6049.799999999999,141162.0,2016.6,4,4
MCKINNEY_13,ngcc,bus_5302,463.75,463.75,8.676796031308301,139.13,3,1391.25,32462.5,463.75,4,4
GRANBURY_14,ngcc,bus_5319,262.8,262.8,8.021891320636401,78.84,3,788.4000000000001,18396.0,262.8,4,4
DALLAS_15,ngcc,bus_5323,852.21,852.21,8.0890672499594,255.66,3,2556.63,59654.700000000004,852.21,4,4
RIESEL,coal,bus_5360,1008.0,1008.0,11.78004293673,302.4,4,3024.0,70560.0,332.64000000000004,12,12
BRIDGEPORT,ngcc,bus_5364,1290.38,1290.38,7.7643186119676,387.12,3,3871.1400000000003,90326.6,1290.38,4,4
ENNIS,ngcc,bus_5382,418.0,418.0,7.847955367775101,125.4,3,1254.0,29260.0,418.0,4,4
PALOPINTO_16,ngcc,bus_5415,122.0,122.0,7.5620057355156,36.6,3,366.0,8540.0,122.0,4,4
